"GLAVNI PROJEKTANT: Silva Grubešić Horvat, dipl.ing.arh., A 2191
TROŠKOVNIK: KEOPS-PROJEKT d.o.o., Zagreb
IZRADIO: Vedran Subotić, struč.spec.ing.aedif., G5923
Z.O.C.P.: PBV-1/25, travanj 2025.",,REKONSTRUKCIJA POSTOJEĆE POSLOVNE GRAĐEVINE TRGOVAČKE I UREDSKE NAMJENE – TRGOVAČKI CENTAR EUROSPIN,,,"INVESTITOR:
EUROSPIN HRVATSKA d.o.o.
Rijeka, Jelačićev trg 7"
,"Opće čišćenje zemljišta na cijelom području, počevši od razine tla, koju su utvrdila geotehnička i geološka istraživanja. Uključuje naknadu za utovar, prijevoz na javno odlagalište ili privremenu deponiju, istovar, zbrinjavanje i troškove odlaganja otpada.",,,,
,,,,,
8.1.1.a,Uklanjanje humusa debljine 20 cm. Obračun po m2.,m2 ,63.5,7,444.5
8.1.1.b,"Uklanjanje grmlja, korijena i stabla promjera debla do 10 cm. Obračun po kom.",kom,2,5.6,11.2
8.1.1.c,"Uklanjanje korijena i stabla tipa čempres, visine do 8,0 m. Obračun po kom.",kom,1,80,80
8.1.1.d,"Uklanjanje habajućih i nosivih asfaltnih slojeva, debljine min. 10 cm. Obračun po m2.",m2 ,2361,3,7083
8.1.1.e,"Uklanjanje nosivog sloja asfaltnih površina od drobljenog kamena, debljine min. 30 cm. Ukoliko materijal kvalitetom udovoljava materijalom za ugradnju novog temeljnog ili osnovnog nosivog sloja planiranih kolničkih konstrukcija svih tipova, potrebno ga je privremeno deponirati. Kvalitetu treba utvrditi laboratorijskim ispitivanjem, a ugradnju mora odobriti nadzorni inženjer. Obračun po m3.",m3,708.5,8,5668
8.1.1.f,"Uklanjanje betonskih površina debljine min. 20 cm oko postojećeg objekta . Obračun po m3.
",m3,58.5,95,5557.5
8.1.1.g,"Uklanjanje sloja krupnozrnatog nevezanog materijala debljine min. 30 cm. Ukoliko materijal kvalitetom udovoljava materijalom za ugradnju novog temeljnog ili osnovnog nosivog sloja planiranih kolničkih konstrukcija svih tipova, potrebno ga je privremeno deponirati. Kvalitetu treba utvrditi laboratorijskim ispitivanjem, a ugradnju mora odobriti nadzorni inženjer. Obračun po m3.
",m3,1870.5,8,14964
8.1.1.h,Uklanjanje metalnih ograda. Obračun po m'.,m',138,9,1242
8.1.1.i,"Rušenje i uklanjanje armirano betonskog ogradnog parapeta, širine 30-35 cm, visine cca 60 cm s temeljima širine cca 50 cm i visine cca 80 cm. Obračun po m'.",m',43,38,1634
8.1.1.j,"Demontaža i uklanjanje postojećih rasvjetnih stupova, betonskih, uključujući njihove temelje te iskopčavanje s mreže.  Obračun po kom.",kom,2,130,260
8.1.1.k,Uklanjanje postojećih betonskih rubnjaka uključujući i njihove temelje. Obračun po m'.,m',56,9,504
8.1.1.l,Uklanjanje postojećih linijskih kanalica sa željeznom rešetkom. Obračun pod m' kanalice.,m',35.5,9,319.5
8.1.1.m,Uklanjanje slivnika uključujući i slivničke veze. Obračun po komadu slivnika.,kom,6,70,420
