,,,,,,,
,,,,,,,
,,,,,,,
,,"Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - NS02 - točka 1.1.

Sve dolje opisane stavke podrazumijevaju sve troškove za pravilno izvođenje posla u skladu sa zaštitom na radu i prema važećim zakonima (poštivanje ograničenja razine buke, radove privremenog pridržavanja i sve potrebne mjere opreza za zaštitu postrojenja, podkonstrukcija, susjednih građevina, mogućih popravaka, itd.)",,,,,"Napomena: svu metalnu konstrukciju, limove i ostale elemente bivši vlasnik deponira i odvozi. "
,,,,,,,
,0.3.1.,RUŠENJA (NS02-1.1.),,,,,
,,,,,,,
,0.3.1.1.,Djelomično rušenje spojenih objekata (NS02-1.1.2.),,,,,
,,,,,,,
,,OPĆI UVJETI,,,,,
,,,,,,,
,,"Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin NS02 - točka 1.1.2.

Djelomično rušenje građevinskih objekata koje se izvodi radnim strojevima, uključuje demontažu i uklanjanje svih dodatnih elemenata, utovar i transport nastalih materijala na ovlaštena javna odlagališta, troškove odlagališta i podizanje skela. Procijenjeno je prema stvarnom volumenu. Za zgrade i/ili ograde:
- s konstrukcijom u kamenu ili opeci
- s armiranobetonskim zidovima izvedenim na gradilištu",,,,,
,,,,,,,
,,,,,,,
,0.3.1.1.2.,"Provedba postupka isključenja vodovodnih instalacija postojeće zgrade s vodoopskrbnog sustava grada, prema uvjetima nadležne komunalne tvrtke. Odvajanje od vodovoda, te blindiranje uličnog priključaka izvesti u dosadašnjem vodomjernom oknu.
Obračun po kompletu kompletno izvršenog isključenja.",,,,,
,0.3.1.1.2.a.,,komplet,1,,,IZVODI NARUČITELJ
,,,,,,,
,0.3.1.1.3.,"Provedba postupka isključenja instalacija jake struje postojeće zgrade s elektroenergetske NN mreže, prema uvjetima nadležnog distributera električne energije HEP-ODS.
Obračun po komadu kompletno izvršenog isključenja.",,,,,
,0.3.1.1.3.a.,,komplet,1,,,IZVODI NARUČITELJ
,,,,,,,
,0.3.1.1.4.,"Provedba postupka isključenja instalacija slabe struje postojeće zgrade s fiksne telefonske mreže, prema uvjetima nadležnog telekomunikacijskog operatera. Priključni je vod postavljen podzemno.
Obračun po komadu kompletno izvršenog isključenja.",,,,,
,0.3.1.1.4.a.,,komplet,1,,,IZVODI NARUČITELJ
,,,,,,,
,0.3.1.1.5.,"Demontaža pokrova ravnog krova i nadstrešnica blagog nagiba autosalona i autopraonice sastavljenog od trapeznog lima, parne brane, ploča toplinske izolacije od mineralne vune i podgleda od profiliranog lima, komplet sa svjetlarnicima od ploča polikarbonata i sl., oblogom atike, opšavima, vodolovnim grlima, instalacijom za zaštitu od munje i sl.. Krov je na visini do 6,0 m od nivoa uređenog terena. Obavezna je primjena svih mjera zaštite na radu, zaštite okoliša i drugih važećih propisa. Uključivo potreban rad, sortiranje uklonjenog materijala po vrstama otpada, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij. Slojevi su pretpostavljeni, a obračun se vrši bez obzira na stvarne slojeve.
Obračun po m2 kompletno svih slojeva pokrova.",,,,,
,0.3.1.1.5.a.,pokrov,m²,322,5,1610,
,0.3.1.1.5.b.,svjetlarnici,m²,15,5,75,
,0.3.1.1.5.c.,obloga atike,m²,102.95,5,514.75,
,,,,,,2199.75,
,,,,,,,
,0.3.1.1.6.,"Demontaža pokrova ravnog krova blagog nagiba konzolnih nadstrešnica sastavljenog od trapeznog lima, OSB ploča i završno hidroizolacijske obloge od mekog PVC-a, komplet sa pokrovom spojne nadstrešnice od polikarbonata te oblogom atike, opšavima, vodolovnim grlima, instalacijom za zaštitu od munje i sl.. Krov je na visini do 4,0, odnosno do 6,2 m od nivoa uređenog terena. Obavezna je primjena svih mjera zaštite na radu, zaštite okoliša i drugih važećih propisa. Uključivo potreban rad, sortiranje uklonjenog materijala po vrstama otpada, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij. Slojevi su pretpostavljeni, a obračun se vrši bez obzira na stvarne slojeve.
Obračun po m2 kompletno svih slojeva pokrova.",,,,,
,0.3.1.1.6.a.,"nadstrešnica na visini do 6,2 m",m²,78,5,390,
,0.3.1.1.6.b.,nadstrešnica na visini do cca 4 m,m²,29,5,145,
