,,,,,,,
,,,,,,,
,,,,,,,
,0.3.2.1.,"Rušenje (uklanjanje) svih slojeva poda podruma postojeće zgrade do betonske ploče, a koji se sastoje od, pretpostavljeno, cementnog estriha debljine 5,0 cm s epoksi premazom. Uključivo odvoz na gradski deponij.
Obračun po m2 kompletno uklonjenog poda.",,,,,
,0.3.2.1.a.,,m²,62.83,18,1130.94,
,,,,,,,
,0.3.2.2.,"Rušenje (uklanjanje) svih slojeva poda podruma postojeće zgrade do betonske ploče, a koji se sastoje od, pretpostavljeno, cementnog estriha debljine 5,0 cm i završno keramičkih pločica i sl.. Uključivo odvoz na gradski deponij.
Obračun po m2 kompletno uklonjenog poda.",,,,,
,0.3.2.2.a.,,m²,43.26,18,778.68,
,,,,,,,
,0.3.2.3.,Uklanjanje industrijskog epoksidnog poda,,,,,
,,"Uklanjanje završnog sloja poda postojećeg dijela građevine od epoksidne smole dijamantnim brušenjem, radi izvedbe novog završnog sloja poda od keramičkih pločica.
Obračun po m2.",,,,,
,0.3.2.3.a.,,m²,181.28,12,2175.36,
,,,,,,,
,0.3.2.4.,"Rušenje (uklanjanje) svih slojeva poda prizemlja postojeće zgrade do nosive konstrukcije, a koji se sastoje od završne podne obloge (keramičke pločice, kamene ploče, teraco i/ili sl.) u građevinskom ljepilu, cementnog estriha 6,0 cm, Pe folije, te okipora 2,0 cm. Ukupna debljina slojeva 9-12 cm. Uključivo odvoz na gradski deponij.
Obračun po m2 kompletno uklonjenog poda.",,,,,
,0.3.2.4.a.,,m²,90.95,21,1909.95,
,,,,,,,
,0.3.2.5.,"Rušenje (uklanjanje) svih slojeva poda prizemlja postojeće zgrade do nosive konstrukcije, a koji se sastoje od završne podne obloge (laminat i/ili sl.) podložne folije, cementnog estriha 6,0 cm, Pe folije, te okipora 2,0 cm i sokla od kutne letvce. Ukupna debljina slojeva 9-12 cm, pretpostavljeno. Uključivo odvoz na gradski deponij.
Obračun po m2 kompletno uklonjenog poda i m sokla.",,,,,
,0.3.2.5.a.,pod,m²,29.87,21,627.27,
,0.3.2.5.b.,sokl,m,27.09,5,135.45,
,,,,,,762.72,
,,,,,,,
,0.3.2.6.,"Rušenje (uklanjanje) svih slojeva poda prizemlja autosalona do nosive konstrukcije, a koji se sastoje od završne podne obloge (laminat i/ili sl.), podložne folije, cementnog estriha 5,0 cm, PE folije, te okipora 2,0 cm. Uključivo odvoz na gradski deponij.
Obračun po m2 kompletno uklonjenog poda.",,,,,
,0.3.2.6.a.,,m²,196.73,21,4131.33,
,,,,,,,
,0.3.2.7.,"Skidanje (otucavanje) keramičkih pločica sa zidova u podrumu postojeće zgrade, visine do 2,8 m. U cijenu uključeno sortiranje i zbrinjavanje uklonjenog materijala. Obračun po m2 stvarne površine obrađenog zida i/ili stupa i po m1 sokla.",,,,,
,0.3.2.7.a.,zidno opločenje,m²,26.53,11,291.83,
,0.3.2.7.b.,sokl,m,26.16,5.12,133.9392,
,,,,,,425.7692,
,,,,,,,
,0.3.2.8.,"Skidanje (otucavanje) keramičkih pločica sa zidova i stupova u prizemlju i međukatu postojeće zgrade, visine do 2,1 m i sokla. U cijenu uključeno sortiranje i zbrinjavanje uklonjenog materijala. Obračun po m2 stvarne površine obrađenog zida i/ili stupa i m1 sokla.",,,,,
,0.3.2.8.a.,zidno opločenje,m²,21.26,11,233.86,
,0.3.2.8.b.,sokl,m,23.59,5.12,120.7808,
,,,,,,354.6408,
,,,,,,,
,1.3.2.9.,"Skidanje (otucavanje) fasadne žbuke sa zidova, visine do 3,50 m. Prije izvođenja radova izvođač i nadzorni inženjer će označiti zidove koje treba otući i očistiti od ostataka morta.",,,,,
,1.3.2.9.a.,,m²,29.97,11,329.67,
,,,,,,,
,1.3.2.10.,"Skidanje (otucavanje) oštećene i neravne unutarnje žbuke sa zidova, visine do 3,50 m. Prije izvođenja radova izvođač i nadzorni inženjer će označiti zidove koje treba otući i očistiti od ostataka morta. Obračun po m2 stvarne površine obrađenog zida.",,,,,
,1.3.2.10.a.,,m²,10,11,110,
,,,,,,,
,0.3.2.11.,"Demontaža spuštenog stropa od tipskih mineralnovlaknastih ploča, na tipskoj pocinčanoj potkonstrukciji učvršćenoj u ab stropnu ploču, u prizemlju. Ploče su vel. cca 62,5/62,5 cm, sa upuštenim fugama. Uključivo demontaža ugradbenih lampi. Obračun po m2 finalizirane plohe. Ovjes je visine cca 30-50 cm. Visina spuštenog stropa do 3,40 m. Sav otpadni materijal prevesti na deponij bez gomilanja na gradnji. Obračun po m2 kompletno uklonjenog podgleda stropa sa potkonstrukcijom. U cijenu uključeno sortiranje i zbrinjavanje uklonjenog materijala.",,,,,
,0.3.2.11.a.,,m²,33.74,12,404.88,
,,,,,,,
,0.3.2.12.,"Demontaža spuštenog stropa od gipskartonskih ploča, na tipskoj pocinčanoj potkonstrukciji učvršćenoj u ab stropnu ploču i/ili ploča od mineralne vune i sl., u podrumu i prizemlju. Uključivo demontaža ugradbenih lampi, ventilacijskih rešetki i sl. Obračun po m2 finalizirane plohe. Ovjes je visine cca 30-100 cm. Visina spuštenog stropa 2,70-3,40 m. Sav otpadni materijal prevesti na deponij bez gomilanja na gradnji. Obračun po m2 kompletno uklonjenog podgleda stropa sa potkonstrukcijom. U cijenu uključeno sortiranje i zbrinjavanje uklonjenog materijala.",,,,,
,0.3.2.12.a.,,m²,92.6,12,1111.2,
,,,,,,,
,0.3.2.14.,"Demontaža vanjskih punih dvokrilnih vrata od crne bravarije.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.14.a.,dvokrilna vrata dim. 165x250 cm,komad,1,95,95,
,,,,,,,
,0.3.2.15.,"Demontaža vanjskih punih jednokrilnih zaokretnih vrata od crne bravarije.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.15.a.,jednokrilna vrata dim. 96x226 cm,komad,1,31,31,
,0.3.2.15.b.,jednokrilna vrata dim. 117x210 cm,komad,1,31,31,
,,,,,,62,
,,,,,,,
,0.3.2.16.,"Demontaža vanjskih prozora iz PVC profila s ustakljenjem iz IZO stakla, na postojećoj zgradi, u etažama podruma, prizemlja, međukata i prvog kata.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.16.a.,jednokrilni prozor dim. 98x170 cm,komad,1,25.6,25.6,
,0.3.2.16.b.,jednokrilni prozor dim. 100x125 cm,komad,1,25.6,25.6,
,0.3.2.16.c.,jednokrilni prozor dim. 140x55 cm,komad,4,25.6,102.4,
,0.3.2.16.d.,jednokrilni prozor dim. 135x55 cm,komad,1,25.6,25.6,
,0.3.2.16.e.,jednokrilni prozor - žaluzina dim. 135x55 cm,komad,1,25.6,25.6,
,0.3.2.16.f.,jednokrilni prozor dim. 125x55 cm,komad,1,25.6,25.6,
,0.3.2.16.g.,jednokrilni prozor dim. 65x55 cm,komad,1,25.6,25.6,
,0.3.2.16.h.,jednokrilni prozor dim. 50x55 cm,komad,1,25.6,25.6,
,0.3.2.16.i.,fiksni prozor dim. 100x82 cm,komad,1,25.6,25.6,
,0.3.2.16.j.,fiksni prozor dim. 278x135 cm,komad,1,25.6,25.6,
,0.3.2.16.k.,dvodjelni prozor dim. 135x125 cm,komad,1,25.6,25.6,
,0.3.2.16.l.,dvodjelni prozor dim. 158x94 cm,komad,1,25.6,25.6,
,0.3.2.16.m.,dvodjelni prozor dim. 150x60 cm,komad,1,25.6,25.6,
,0.3.2.16.n.,trodjelni prozor dim. 238x94 cm,komad,2,32,64,
,0.3.2.16.o.,trodjelni prozor dim. 290x128 cm,komad,1,35.2,35.2,
,,,,,,508.8,
,,,,,,,
,0.3.2.17.,"Demontaža vanjskih zaokretnih jednokrilnih vratiju iz PVC profila s ustakljenjem iz IZO stakla i nadsvjetlom, dim. 110x267 cm, na postojećoj zgradi, u etaži prizemlja.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.17.a.,,komad,1,45,45,
,,,,,,,
,0.3.2.18.,"Demontaža vanjskih ostakljenih višedjelnih stijena iz PVC profila s ustakljenjem iz IZO stakla, sastavljenim od fiksnih i otklopnih polja i zaokretnih ostakljenih vratiju, na postojećoj zgradi, u etaži prizemlja. Uključivo potkonstrukcija, okov, opšav i sl.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.18.a.,staklena stijena dim. 463x321 cm,komad,1,256,256,
,0.3.2.18.b.,"staklena stijena sa zaokretnim vratima, dim. 450x321 cm",komad,1,256,256,
,,,,,,512,
,,,,,,,
,0.3.2.19.,"Demontaža svjetlarnika - svjetlosne kupole dim. 100x220 cm na ravnom krovu.
Uključivo okov, opšav, potkonstrukcija, spojna sredstva i sl.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.19.a.,,komad,1,128,128,
,,,,,,,
,0.3.2.20.,"Demontaža vanjskih i unutarnjih kamenih, PVC i sl. prozorskih i sl. klupčica.
Uključivo odvoz na gradski deponij.
Obračun po m1.",,,,,
,0.3.2.20.a.,vanjske kamene klupčice,m,42.57,11.52,490.4064,
,0.3.2.20.b.,unutarnje kamene prozorske klupčice,m,14.41,11.52,166.0032,
,0.3.2.20.c.,unutarnje PVC prozorske klupčice,m,6.59,9,59.31,
,,,,,,715.7196,
,,,,,,,
,0.3.2.21.,"Demontaža unutarnjih zaokretnih jednokrilnih vrata s ili bez nadsvjetla, iz crnih profila i limova, komplet s okovom, spojnim sredstvima, opšavima i/ili sl.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.21.a.,vrata dim. 120x218 cm,komad,1,25.6,25.6,
,0.3.2.21.b.,vrata dim. 95x218 cm,komad,1,25.6,25.6,
,0.3.2.21.c.,vrata dim. 95x215 cm,komad,1,25.6,25.6,
,0.3.2.21.d.,dvodijelno nadsvjetlo dim.95x83 cm,komad,1,22.4,22.4,
,0.3.2.21.e.,vrata s nadsvjetlom dim. 115x244 cm,komad,1,25.6,25.6,
,0.3.2.21.f.,vrata s nadsvjetlom dim. 122x277 cm,komad,1,25.6,25.6,
,0.3.2.21.g.,vrata s nadsvjetlom dim. 120x287 cm,komad,1,25.6,25.6,
,,,,,,176,
,,,,,,,
,0.3.2.22.,"Demontaža unutarnje stolarije od PVC profila.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.22.a.,"jednokrilna ustakljena zaokretna vrata s nadsvjetlom, dim. 125x274 cm",komad,1,32,32,
,0.3.2.22.b.,unutarnji dvodijelni prozor dim. 122x79 cm,komad,1,32,32,
,0.3.2.22.c.,unutarnji jednokrilni prozor dim. 55x80 cm,komad,2,22.4,44.8,
,,,,,,108.8,
,,,,,,,
,0.3.2.23.,"Demontaža unutarnjih zaokretnih jednokrilnih drvenih vrata, s punim zaokretnim krilom.
Uključivo odvoz na gradski deponij.",,,,,
,0.3.2.23.a.,vrata dim. 90x205 cm,komad,1,25.6,25.6,
,0.3.2.23.b.,vrata dim. 75x205 cm,komad,1,25.6,25.6,
,0.3.2.23.c.,vrata dim. 70x205 cm,komad,6,25.6,153.6,
,,,,,,204.8,
,,,,,,,
,0.3.2.24.,"Demontaža kompletne ostakljene aluminijske fasade autosalona, uključivo profili, ostakljena polja, prozori i vrata.
Uključivo odvoz na gradski deponij.
Obračun po m2 kompletno demontirane fasade",,,,,
,0.3.2.24.a.,,m²,199.82,18,3596.76,
,,,,,,,
,0.3.2.25.,"Demontaža kompletne pune fasade autopraonice od trapeznog lima i, uključivo, potkonstrukcije.
Uključivo odvoz na gradski deponij.
Obračun po m2 kompletno demontirane fasade",,,,,
,0.3.2.25.a.,,m²,157.91,10,1579.1,
,,,,,,,
,0.3.2.26.,"Demontaža podgleda konzolnih nadstrešnica od trapeznog i ravnog lima, komplet s opšavima i potkonstrukcijom.
Obračun po m2 podgleda.",,,,,
,0.3.2.26.a.,"nadstrešnica na visini do cca 6,2 m",m²,77.25,10.88,840.48,
,0.3.2.26.b.,"nadstrešnica na visini do cca 4,0 m",komad,29.36,10.88,319.4368,
,0.3.2.26.c.,"nadstrešnica na visini do cca 3,5 m",komad,3.5,10.88,38.08,
,,,,,,1197.9968,
,,,,,,,
,0.3.2.27.,"Demontaža kompletnog dizala za vertikalni transport između etaže podruma i prizemlja sa strojarnicom iznad gornje stanice, uključivo kabina, pogon, konstrukcija, instalacije, strojarnica, dvokrilna vrata na oknu i sl..
Uključivo odvoz na gradski deponij.
Obračun po kompletu",,,,,
,0.3.2.27.a.,,komplet,1,1720,1720,
,,,,,,,
,0.3.2.28.,"Demontaža dijelova, opreme i uređaja postojećeg sustava ventilacije. Uključivo odvoz na gradski deponij.
Obračun po kompletu.",,,,,
,0.3.2.28.a.,,komplet,1,850,850,
,,,,,,,
,0.3.2.29.,"Demontaža instalacija, sanitarne opreme i uređaja vodoopskrbe i odvodnje u postojećoj zgradi, komplet sa svim priključcima, fazonskim komadima, pričvrsnim elementima, spojnim sredstvima i/ili sl. Uključivo odvoz na gradski deponij.
Obračun po komadu stvarno demontiranih instalacija, opreme i uređaja.",,,,,
,0.3.2.29.a.,WC školjka - komplet,komad,6,35,210,
,0.3.2.29.b.,pisoar - komplet,komad,2,35,70,
,0.3.2.29.c.,umivaonik - komplet,komad,6,35,210,
,0.3.2.29.d.,tuš ,komad,3,35,105,
,,,,,,595,
,,,,,,,
,0.3.2.30.,"Demontaža limenih opšava, žlijebova, vertikalnih oluka, sandučastih kotlića, i/ili sl., sa svim fazonskim komadima, pričvrsnim elementima i spojnim sredstvima, komplet s odvozom na gradski deponij.",,,,,
,0.3.2.30.a.,horizontalni sandučasti žlijeb,m,37,5,185,
,0.3.2.30.b.,vertikalna olučna cijev,m,57,5,285,
,0.3.2.30.c.,sandučasti kotlić,komad,7,4,28,
,0.3.2.30.d.,labuđi vrat,komad,3,4,12,
,0.3.2.30.e.,izljevno koljeno,komad,7,4,28,
,0.3.2.30.f.,opšav atike postojeće zgrade,m,83.43,4,333.72,
,,,,,,871.72,
,,,,,,,
,0.3.2.31.,Demontaža strojarskih i elektro instalacija i strojarske opreme s nosačima u postojećem objektu,,,,,
,,Obračun po kompletu,,,,,
,0.3.2.31.a.,,komplet,1,1350,1350,
,,,,,,,
,0.3.2.33.,Demontaža instalacija i opreme s nosačima instalacija dovoda i odvoda vode u postojećem objektu.,,,,,
,,Obračun po kompletu,,,,,
,0.3.2.32.a.,,komplet,1,680,680,
,,,,,,,
,0.3.2.,UKLANJANJA (NS02- 1.2.) UKUPNO:,,,,28621.8364,
,,,,,,,
,0.3.,RUŠENJA I UKLANJANJA (NS02-1.) UKUPNO:,,,,85337.037,
,,,,,,,
,0.,PRIPREMNI RADOVI I RUŠENJA  UKUPNO:,,,,86337.037,
