,,,,,
9.2. ISKOP ZADANOG PRESJEKA ,,,,,
Br.st.,Stavka,Jed. mjere,Količina,Jedinična cijena,"Ukupno
[EUR]"
,"(2,60x4,00x5,20) - kolnička konstrukcija - volumen okna = 52,48",,,,
,- Separator ulja DN180cm (kom 1),,,,
,"(2.80x2.80x3,5) - kolnička konstrukcija - volumen okna = 13,44",,,,
,-  Mastolov DN150cm (kom 1),,,,
,"(2,5x2,5x2,90) - kolnička konstrukcija - volumen okna = 10,5",,,,
,"774,63",m³,775,8,6200
,,,,,
9.2.6.,Odvoz zemlje,,,,
,"Odvoz preostale zemlje nakon dovršenog zatrpavanja rova, kamionima na gradsku deponiju na udaljenost od 5 km ili veću, u dogovoru s investitorom. U cijenu je uračunat utovar u transportno sredstvo, transport, te istovar i grubo planiranje na mjestu istovara.",,,,
,Obračun po m3 stvarno izvršenih radova. ,,,,
,"1,20x(1512-775) = 884,4",m³,885,5,4425
,,,,,
,,,,,
9.2.7.,Šlicanje postojeće temeljne ploče,,,,
,"Izvedba šliceva u postojećim temeljima podruma, za polaganje temeljnog razvoda kanalizacije. U stavku ulazi: rezanje ploče u širini 0,6 m, razbijanje betona debljine 0,2 m, saniranje oštećene hidroizolacije i naknadno betoniranje ploče betonom C30/37 sa dodatkom za vodonepropusnost i ugradnjom waterstop RX 101 trake koja ekspandira u dodiru s vodom, sve do prvobitnog stanja, uključujući sav potreban materijal i rad.",,,,
,Obračun po m' stvarno izvršenih radova. ,,,,
,,m',35,8,280
,,,,,
9.2.8.,"Postavljanje prijelaza, osiguranje i označavanje rova",,,,
,"Izrada, postavljanje i skidanje prijelaza preko iskopanog rova. Stavkom je obuhvaćena izrada prelaza preko rova i zaštitna ograda odnosno obilježavanje ruba rova špagom i zastavicama na prometnim mjestima.",,,,
,Obračun se vrši po kompletu postavljenih prijelaza.,,,,
,,kompl.,2,200,400
,,,,,
9.2.,ISKOP ZADANOG PRESJEKA ,,UKUPNO:,,41569
