Kod,Vrsta,Kratki opis,Dugi opis,,,,
402.020.00100,,x..TW11..x - blenda koncesionara,"Izrada ovješene blende koncesionara od GKB ploča debljine 12,5m na metalnoj potkonstrukcija za elastični ovjes gips-kartonskih ploča. Svi spojevi moraju biti ljepljeni, bandažirani i gletani - kvaliteta Q-3, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava. Obrada donje pasice uključena u cijenu.

Izvedba: Prednja strana jednostrano obložena do trapeznog lima, unutarnja strana do ovješenog stropa, prednja strana s udubljenjem u donjom području, vanjski tereti 10 kg/m2 sjenila
Debljina blende: ukupne debljine 150mm od toga 100 mm na donjem rubu.
Metalna potkonstrukcija: profila CW75 postavljen vertikalno na čelični nosač blende i profil CW 50 postavljen okomito na vertikalne profile cw75
Visina blende: do 3,1 m, donji rub od 3,0 m iznad gotovog poda
Potkonstrukciju blende uklopiti u bravarsku stavku POZ 501 /502 /503.",92,m2,41,3772
402.020.00105,,"x..TW12..x - blenda delikatese, drvena dekoracija","Izrada ovješene blende delikatese na metalnoj potkonstrukcija za elastični ovjes gips-kartonskih ploča.

Metalna potkonstrukcija: jednostruka metalna potkonstrukcija CW 75 pričvršćena na čeličnu konstrukciju
Podloga za postavu drvene dekoracije: OSB ploča d=12mm
Obloga: Drvena dekoracija od drvenog materijala premazanog melaminskom smolom, dekorativni Egger Hamilton hrast natur. Ploče sa zaštitom za rubove od zaštitne trake iste boje, s 1mm PVC rubom bočno, 2 mm PVC rubom. Nevidljivo pričvršćenje na potkonstrukciju.
Visina blende: 1,5 m, obloga kontinurano preko brida na donji donji rub širine cca 15cm, donji rub od 3,0 m iznad gotovog poda
Potkonstrukciju blende uklopiti u bravarsku stavku POZ 505.",27.5,m2,41,1127.5
402.020.00110,,"x..BD1..x - blenda pekare, drvena dekoracija","Dobava i ugradnja drvene dekoracije blende pekare.

Metalna potkonstrukcija obrađena zasebnom bravarskom stavkom.
Podloga za postavu drvene dekoracije: šperploča d=12mm - na mjestima kružno ugrađena (potrebno uračunati u cijenu stavke).
Obloga: Drvena dekoracija od drvenog materijala premazanog melaminskom smolom, dekorativni Egger Hamilton hrast natur. Ploče sa zaštitom za rubove od zaštitne trake iste boje, s 1mm PVC rubom bočno, 2 mm PVC rubom. Nevidljivo pričvršćenje na potkonstrukciju.
Visina blende: 0,8 m, obloga kontinurano preko brida na donji donji rub širine cca 15cm, 3,0 m iznad gotovog poda
Blendue uklopiti u bravarsku stavku POZ 504.
Stavka uključuje izradu spoja blende sa krovnim trapeznim limom neravne površine; 1-strana 1-slojna obloga.",17.5,m2,64.9900601183,1137.33
402.030,,Suha žbuka,,,,,525
402.030.00100,,"- suha žbuka, GKB ploča","Izrada završne obloge unutarnjeg zida iz GKP sistem KNAUF W611 suha žbuka_izvedba A:
• gips kartonske ploče GKB 1,25cm
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, kvaliteta Q-2, fugirani, pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Visina obloge do: [4,85 ] m",75,m2,7,525
402.040,,GK stropovi,,,,,5820.09
402.040.00100,,"x..DE7.2..x - Spušteni stropovi, gips karton,","Isporučiti i montirati prema podacima proizvođača, spušteni stropovi od gipskartonskih ploča u zatvorenoj izvedbi, s metalnom podkonstrukcijom s podešavanjem visine. Oplata gipskartonskih ploča za suhu gradnju debljine 12,5 mm, uključujući izradu potrebnih otvora za rasvjetu, rasprskivač i ventilacijsku rešetku. Spojeve gipskartonskih ploča za suhu gradnju površinski izgladiti i izbrusiti. Uključeni su svi potrebni spojevi za zid i kuteve s odgovarajućim kutnicima za zid te ostali materijal i rad koji je potreban da se stavka izvede do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Izvedba: jednostruko obložena
Visina stropa: do 3,0 m
Površina: Svi spojevi moraju biti ljepljeni, bandažirani i gletani, kvaliteta Q-2, fugirani, s jedne strane pripremljeno za bojanje bez bojanja.",120,m2,28,3360
402.040.00105,,- Doplata za revizijske otvore,"Doplata za revizijske otvore - obične, dim. do 600 x 600 mm",5,kom,69.3227307928533,346.61
402.040.00110,,"x..DE7.2..x - Spušteni stropovi, gips karton, EI90","Isporučiti i montirati prema podacima proizvođača, spušteni stropovi od gipskartonskih ploča u zatvorenoj izvedbi, EI90 odzdo i odozgo, s metalnom podkonstrukcijom s podešavanjem visine. Oplata od vatrootpornih gipskartonskih ploča za suhu gradnju debljine 12,5 mm u trisloja, uključujući izradu potrebnih otvora za rasvjetu, rasprskivač i ventilacijsku rešetku. Mineralna vuna debljine 40mm, de dodatno iznad nosivih profila u širni 150mm kako bi se postigla tražena vatrootporost s obje strane. Spojeve gipskartonskih ploča za suhu gradnju površinski izgladiti i izbrusiti. Uključeni su svi potrebni spojevi za zid i kuteve s odgovarajućim kutnicima za zid te ostali materijal i rad koji je potreban da se stavka izvede do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava. Obrada oko prodora instalacija na način da se dobije tražena vatrootpornost se ne obračunava posebno, uključena je u jediničnu cijenu.

Izvedba: jednostruko obložena
Visina stropa: do 3,5 m
Površina: Svi spojevi moraju biti ljepljeni, bandažirani i gletani, kvaliteta Q-2, fugirani, s jedne strane pripremljeno za bojanje bez bojanja.",37,m2,49.392445689908,1827.52
402.040.00115,Neobavezna pozicija,x..DE7..x - samonosivi požarni strop EI 90,"Dobava materijala i izrada samonosivog stropa Fireboard K219 odozdo i odozgo, vatrootpornost F90. Potkonstrukcija s UW-profilima i dvostrukim CW-profilima 100 za maksimalnu širinu prostorije od 3,40-4,0 m. Pričvršćivanje bočnih nosivih elemenata od UW-profila na zidovima prema uputama proizvođača, pričvršćivanje dvostrukih CW-profila u maksimalnom razmaku od 625 mm - odnosno prema uputama proizvođača.
Oplata: nosive profile obložiti negorućim pokrovnim trakama od gips-kartona Fireboard - klasa građevnog materijala A1 - u širini profila i duž obostrane oplate za zaštitu od požara odozdo i odozgo s negorivim gips-kartonskim pločama Fireboard 1 x 20 mm. Postaviti sloj izolacije od mineralnih vlakana klase građevnog materijala A1, debljine 60 mm. Obrada oko prodora instalacija na način da se dobije tražena vatrootpornost se ne obračunava posebno, uključena je u jediničnu cijenu. Svi spojevi moraju biti ljepljeni, bandažirani i gletani, kvaliteta Q-2, fugirani, s jedne strane pripremljeno za bojanje bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.",13,m2,50.2589798248187,653.366737722643
402.040.00120,,- Doplata za revizijske otvore EI90,"Doplata za revizijske otvore s mogučnošću zaključavanja - EI 90, dim. do 600 x 600 mm",3,kom,95.3187548401734,285.96
402.050,,Strop od mineralnih vlakana,,,,,18517
402.050.00100,,"x..DE3..x - spušteni stropovi, mreža 62,5 / 62,5 cm, mineralna vlakna","Ovješene stropove kao raster stropove, sustav za umetanje, vidljivu visinski podesivu nosivu konstrukciju s rubnim nosačem, stropne ploče od mineralnih vlakana, u različitim pojedinačnim dimenzijama, uklj. priključke i krajeve, otvore, pojačanja, isporučiti i montirati.

Izvedba: Raster 60,0/60,0 cm
Visina stropa: do 4,0 m
Nosiva konstrukcija: od aluminija ili pocinčanog čelika, širina vidljive strane 24 mm, vidljive strane obojane
Stropne ploče: Debljina ploča ca. 15 mm, s ravnim rubom
Površina: uni, homogena, zatvorena, blago gruba s finom granulacijom
Boje: sukladno Kauflandovoj paleti boja",355,m2,36,12780
402.050.00105,,"x..DE3..x - dodatak za strop, izolacijski sloj","Doplata za izolacijski sloj od mineralne vune, debljine [40] mm. Koristi se u prostorijama za sastanke, ured rukovodstva, sobe za osoblje i čekanje.",105,m2,17,1785
402.050.00110,,"x..DE3..x - spušteni stropovi, mreža 62,5 / 62,5 cm, mineralna vlakna u području hladnjača uz delikatesu","Ovješene stropove kao raster stropove, sustav za umetanje, vidljivu visinski podesivu nosivu konstrukciju s rubnim nosačem, stropne ploče od mineralnih vlakana, u različitim pojedinačnim dimenzijama, uklj. priključke i krajeve, otvore, pojačanja, isporučiti i montirati. Svi primijenjeni mateirjali razred reakcije na požar A1 ili A2.

Izvedba: Raster 60,0/60,0 cm
Visina stropa: do 4,0 m
Nosiva konstrukcija: od aluminija ili pocinčanog čelika, širina vidljive strane 24 mm, vidljive strane obojane
Stropne ploče: Debljina ploča ca. 15 mm, s ravnim rubom
Površina: uni, homogena, zatvorena, blago gruba s finom granulacijom
Boje: sukladno Kauflandovoj paleti boja",76,m2,35,2660
402.050.00115,,"x..DE3..x - dodatak za strop, izolacijski sloj","Doplata za izolacijski sloj od mineralne vune, debljine [40] mm.",76,m2,17,1292
402.060,,Metalni stropovi,,,,,9457
402.060.00100,,"x..DE1, DE1.2..x - Spušteni stropovi, mreža 62,5 / 62,5 cm, stezni sustav izrađen od metala","Ovješene stropove kao raster stropove, sustav na zatezanje, prekrivenu visinski podesivu nosivu konstrukciju s rubnim nosačem, stropne ploče od metala, u različitim pojedinačnim dimenzijama, uklj. priključke i krajeve, otvore, pojačanja, isporučiti i montirati.

Izvedba: Raster 60,0/60,0 cm
Visina stropa: do 4,0 m
Nosiva konstrukcija: od aluminija ili pocinčanog čelika, vidljive strane obojane
Stropne ploče: zatvorene kasete od čeličnog lima, pocinčane i premazane u prahu, preklopne
Boje: sukladno Kauflandovoj paleti boja",40,m2,45,1800
402.060.00105,,"x..DE1.1..x - Spušteni stropovi, mreža 62,5 / 62,5 cm, metalni stezni sustav, vanjska površina","Ovješene stropove kao raster stropove, u vanjskom prostoru, osigurane od propuha i udara vjetra, sustav na zatezanje, prekrivenu visinski podesivu nosivu konstrukciju s rubnim nosačem, stropne ploče od metala, u različitim pojedinačnim dimenzijama, uklj. priključke i krajeve, otvore, pojačanja, isporučiti i montirati.

Izvedba: Raster 60,0/60,0 cm
Visina stropa: do 4,5 m
Nosiva konstrukcija: od aluminija ili pocinčanog čelika, vidljive strane obojane
Stropne ploče: zatvorene kasete od čeličnog lima, pocinčane i premazane u prahu
Boje: sukladno Kauflandovoj paleti boja",31,m2,45,1395
402.060.00110,,"x..DE2..x - Spušteni stropovi, mreža 62,5 / 62,5 cm, sustav umetanja izrađen od metala","Ovješene stropove kao raster stropove, sustav na umetanje, vidljivu visinski podesivu nosivu konstrukciju s rubnim nosačem, stropne ploče od metala, u različitim pojedinačnim dimenzijama, uklj. priključke i krajeve, otvore, pojačanja, isporučiti i montirati.

Izvedba: Raster 60,0/60,0 cm
Visina stropa: do 4,0 m
Nosiva konstrukcija: od aluminija ili pocinčanog čelika, širina vidljive strane 24 mm, vidljive strane obojane
Stropne ploče: zatvorene kasete od čeličnog lima, pocinčane i premazane u prahu
Boje: sukladno Kauflandovoj paleti boja",69,m2,45,3105
402.060.00115,,"x..DE5..x - Spušteni stropovi, mreža 62,5 / 62,5 cm, sustav umetanja izrađen od metala","Ugradnja spuštenog limenog kasetiranog stropa ako je to potrebno za određeni projekt prema državnom zakonu / zbog higijene ili prema nadležnom tijelu.

Kasetirani strop od čeličnog lima, modul 625/625 mm ili 600/600 mm, sustav spona, otklopljiv. Spojne kasete od vruće pocinčanog čeličnog lima, zatvorene kasete bez otvora. Skrivene nosive skele izrađene od pocinčanih metalnih profila, s pripadajućim vješalicama podesivim po visini. Izrada otvora za rasvjetu, sustave prskalica, zvučnike, eventualno alarme za dim itd. Uzeti u obzir zaobljene rubove stropne plohe.

Izvedba 1 – Kasetirani strop od čeličnog lima
Izvedba kao sustav preklapanja sponama (kasete se mogu sklopiti)
Boja praškasti premaz RAL 7024 – graphitgrau
Ovjes s nosive konstrukcije baldahina
Poklopci za sustav prskalica, odnosno vidljivi okviri ili dijelovi sustava prskalica, zvučnika, prstene svjetiljaka, ventilacijske otvore, uništivače insekata u spuštenom stropu treba premazati istom bojom, ako ih proizvođač ne isporuči u boji RAL7024 graphitgrau.
Ugradnja lampi za insekte dimenzija kućišta 544x544x73 mm
Isporuku lampi za insekte od dobavljača po narudžbi tvrtke Kaufland
Za stropnu rešetku 625 x 625 mm isporučuje se odgovarajući instalacijski okvir ili produžetak okvira",31,m2,45,1395
402.060.00120,,"x..DE1, DE1.2, DE2..x - dodatni strop, rešetka 62,5 / 62,5 cm, metal, izolacijska obloga iznutra","Doplata za izolacijski sloj od mineralne vune, debljine [40] mm.",69,m2,17,1173
402.060.00125,,"x..DE2..x - dodatni stropovi, mreža 62,5 / 62,5 cm, metal, izolacijski sloj izvana","Doplata za izolacijski sloj od mineralne vune, debljine [120] mm, prikladne za vanjski prostor.",31,m2,19,589
406,,Soboslikarski radovi,,,,,
406.000,,Prethodne napomene,,,,,0
,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti dio su troškovnika te u slučaju ugovaranja postaju dio ugovora. Izvođač radova se dakle obavezuje na sve radove i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Cijene stavki se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz troškovnika. U slučaju proturječnosti između troškovnika i tehničke dokumentacije koja se predaje prilikom natječaja, vrijedi tehnička dokumentacija.

4.) Prije početka davanja ponude, ponuditelj je dužan pažljivo pročitati kompletan tekst općih uvjeta uz troškovnik, općih i posebnih uvjeta uz svaku grupu radova, tekst samog troškovnika i ostale dijelove tehničke dokumentacije. Ako opis bilo koje stavke u troškovniku dovodi do sumnje o načinu izvedbe ili upotrebu gradiva zahtijevane kvalitete, treba prije predaje ponude zatražiti pojašnjenje od ovlaštene osobe Investitora. Naknadno pozivanje na manjkavost ili nepoznavanje projektno-tehničke dokumentacije ili opisa u troškovniku neće se uzeti u obzir, niti smatrati razlogom za produženje roka izvedbe, a niti će se priznati bilo kakva razlika u cijeni s tog naslova.

5.) Tehnička dokumentacija koja se predaje prilikom natječaja informativnog je karaktera, a ponuđač je dužan u svom trošku izvršiti kontrolu projektno tehničke dokumentacije u smislu točnosti, tehničke ispravnosti, izvedivosti i međusobne usklađenosti. Sve eventualne primjedbe ponuditelj/izvoditelj dužan je pravovremeno uz ponudu, a u svakom slučaju prije izvedbe u pisanom obliku dostaviti Nadzoru i Naručitelju

6.) Ponuditelj je dužan provesti i kontrolu lokacije na licu mjesta prije davanja ponude. Jedinične cijene za pojedine vrste radova sadrže i sve one posredne troškove koji nisu iskazani u troškovniku, ali su neminovni za izvršenje radova predviđenih projektom.

7.) Organizacija gradilišta uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Dizalice za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u jediničnu cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Kompletnu režiju gradilišta usigurava i rješava ponuditelj/izvođač i i uključena je u jediničnu cijenu.

11.) Ponuditelj je obvezan redovno prikupljati i ,pravilno skladištiti i odvoziti na ovlašteni deponij sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova treba svakodnevno čistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastite građevinske opreme, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih radova.

14.) Prilikom izvođenja radova, izvoditelj treba zaštititi sve susjedne plohe, dijelove konstrukcije i prethodno izvedene radove na prikladan način a u skladu sa pravilima zaštite na radu, tako da ne dođe do oštećenja istih. Troškove zaštite treba izvoditelj ukalkulirati u ponudbenu cijenu izvođenja radova. Ukoliko ipak dođe do oštećenja prethodno izvedenih radova za koje je odgovoran izvoditelj ili njegov kooperant, dužan je iste o svom trošku dovesti u stanje prije oštećenja ili naručiti iste radove kod drugog izvoditelja na svoj teret.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom davanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova.

17.) Stavke troškovnika obuhvačaju konačno dovršenje radova definiranih po količini i kvaliteti, onosno podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku uzorka odlučuje naručitelj.

22.) Ako nije drukčije propisano, izmjene postojećih projektnih rješenja od strane ponuditelja/izvođača a koje utječu na mehaničku stabilnost, ponuditelj/izvođač je dužan u svom trošku ishoditi sve suglasnosti, dozvole i sl.
Projekt izvedenog stanja ukalkulirati u jedničnu cijenu te dostaviti Kauflandu u pisanom i digitalnom obliku.

23.) Svi radovi na objektu te primjenjeni sistemi gradnje moraju biti izvedeni prema pravilu struke, odnosnu u granicama dopuštenih tolerancija.

24.) Ukoliko je ugovoreni termin izvršenja objekta uključen i zimski odnosno ljetni period, to se neće posebno izvođaču priznavati na ime naknade za rad pri niskoj temperaturi, zaštita konstrukcija od hladnoće i vrućine, te atmosferskih nepogoda, sve mora biti uključeno u jediničnu cijenu. Za vrijeme zime objekat se mora zaštititi. Svi eventualni smrznuti dijelovi moraju se ukloniti i izvesti ponovo bez bilo kakve naplate. Ukoliko je temperatura niža od temperature pri kojoj je dozvoljen dotični rad, a Investitor ipak traži da se radi, Izvođač si ima pravo zaračunati naknadu po normi 6,006 ali u tom slučaju Izvođač snosi punu odgovornost za ispravnost i kvalitetu rada. To isto vrijedi i za zaštitu radova tokom ljeta od prebrzog sušenja uslijed visoke temperature.

25.) U jediničnu cijenu rada izvođač treba obuhvatiti i slijedeće radove, koji se neće zasebno platiti kao naknadni rad, čak i ako nisu izričito navedenei u troškovniku:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,,
,,Razgraničenje usluga za soboslikarske radove,"U sljedećim pozicijama potrebno je uzeti u obzir i uračunati sljedeće usluge, čak i ako nisu izričito navedene:
- Ugradnju armaturnih mreža u područjima u kojima postoji opasnost od pukotina
- stručnu naknadnu obradu
- ljepljivom trakom zaštiti površine koje se ne bojaju
- neželjene ostatke boje ukloniti
- Popravak podloge u obujmu koji pripada određenom odjeljku
- u unutarnjim prostorima općenito se koriste boje bez štetnih emisija i otapala
- Bojanje pojedinih površina akcentnim bojama
- Korištenje usisivača prilikom brušenja
- Dodatne radove u nišama, izbočenim dijelovima zida ili drugim tankim elementima
- trajno elastične brtve koje su mogu bojati na svim spojnim fugama prema graničnim elementima",,,,
406.010,,Vanjsko bojanje,,,,,0
406.020,,Bojanje unutarnjih površina,,,,,44659.27
406.020.00100,,"x..ATW1..x - betonska konstrukcija, lateks boja","Bojanje nosive krovne konstrukcije u području prodajnog prostora (glavni, sekundarni, rubni i zabatni nosači) sa višeslojnim sustavom koji se sastoji od temeljnog premaza s premazom dubinskog grundiranja koji se razrjeđuje vodom, međupremaz i završni sloj. Izvedba do gotove funkcionalnosti prema uputama tehnologa proizvođača boje.

Radna visina: do 10,0 m
Sustav slojeva: Lateks boja, otporna na habanje, razred mokrog habanja 2 prema EN 13300
Boja/stupanj sjaja: svijetla boja sukladno Kauflandovoj paleti boja",2302.84,m2,6.8,15659.31
406.020.00105,,"x..WB1..x - baza, lateks boja, unutarnja područja","Bojanje zidova betona, gipskartona i opeke, osnovni premaz sa temeljnim premazom koji se može razvodniti. Međusloj i završni sloj s lateks bojom. Stupanj sjaja: srednji sjaj. Klasa vodoperivosti 1 (NAB1). Izvedba do gotove funkcionalnosti prema uputama tehnologa proizvođača boje.

Radna visina: 5,00 m
Sustav slojeva: Lateks boja, otporna na habanje, razred mokrog habanja 1 prema EN 13300
Boja/stupanj sjaja: tamna boja sukladno Kauflandovoj paleti boja",18.69,m2,6.8,127.09
406.020.00110,,"x..WB2..x - zidovi, lateks boja","Bojanje zidova betona, gipskartona i opeke,u području svih zidnih površina i unutrašnjih nosača. Osnovni premaz sa temeljnim premazom, koji se može razvodniti. Između međupremaza i završnog premaza sa lateks bojom. Stupanj sjaja: mat bez sjaja. Izvedba do gotove funkcionalnosti prema uputama tehnologa proizvođača boje.

Radna visina: do ca. 6,0 m
Sustav slojeva: Lateks boja, otporna na habanje, razred mokrog habanja 2 prema EN 13300
Boja/stupanj sjaja: svijetla boja sukladno Kauflandovoj paleti boja",2187.6,m2,6.8,14875.68
406.020.00115,,"x..WB3..x - zidovi, lateks boja","Premaz u boji na zidnim površinama, unutarnjim nosačima. Podloga od zidova, betona, gipskartona. Temeljni premaz s premazom dubinskog grundiranja koji se razrjeđuje vodom. Srednji i završni premaz lateksom.Stupanj sjaja: srednji sjaj. Klasa vodoperivosti 1 (NAB1). Nijansa: NCS S-1000 N bijela. Premaz u visini prostorije od sokla do krova/spuštenog stropa.

Priprema podloge za javne površine, urede i društvena područja
ozidanu zidnu površinu izravnati mortom ili obložiti gips-kartonskim pločama za suhu gradnju, ožbukane i izbrušene, premazane vodom razblaženim temeljnim premazom.
Radna visina: do ca. 6,0 m
Sustav slojeva: Lateks boja, otporna na habanje, razred mokrog habanja 2 prema EN 13300
Boja/stupanj sjaja: svijetla boja sukladno Kauflandovoj paleti boja",472.36,m2,6.8,3212.05
406.020.00120,,"x..WB4..x - zidovi, lateks boja, prodajni prostor","Bojanje zidova betona, gipskartona i opeke. Temeljni premaz s premazom dubinskog grundiranja koji se razrjeđuje vodom. Međupremaz i završni premaz: premaz disperzijskom bojom s lateks bojom. Stupanj sjaja: mutno matirano. Boje zida u prodajnom prostoru i trgovačkom centru razlikuju se u 3 vrste boja: osnovna boja Brillux Scala 12.03.18., boje ili asortimani robe RAL, boja za poruku brenda Kaufland RAL 3020. Planiranje po pitanju skupina robe i određivanje ikona i motiva slika, uključujući položaj i visinu vrši se u skladu s detaljnim tehničkim izgledom. Izvedba do gotove funkcionalnosti prema uputama tehnologa proizvođača boje.

Radna visina: do ca. 5,5 m
Sustav slojeva: Lateks boja, otporna na habanje, razred mokrog habanja 2 prema EN 13300
Boja/stupanj sjaja: u različitim bojama prema Kauflandovoj paleti boja",862.6,m2,6.8,5865.68
406.020.00125,,"x..WB4..x - stupovi, lateks boja,  prodajni prostor","Bojanje unutarnjih stupova prodajnog prostora temeljni premaz s premazom dubinskog grundiranja koji se razrjeđuje vodom. Međupremaz i završni premaz: premaz disperzijskom bojom s lateks bojom. Stupanj sjaja: mutno matirano. Izvedba do gotove funkcionalnosti prema uputama tehnologa proizvođača boje.

Radna visina: do ca. 10,0 m
Sustav slojeva: Lateks boja, otporna na habanje, razred mokrog habanja 2 prema EN 13300
Boja/stupanj sjaja: u različitim bojama prema Kauflandovoj paleti boja",44.09,m2,6.8,299.81
406.020.00130,,x..WB5..x -zid prazne ambalaže,"Bojanje zidova betona, gipskartona i opeke. Temeljni premaz s premazom dubinskog grundiranja koji se razrjeđuje vodom. Međupremaz i završni premaz: premaz s lateks bojom. Stupanj sjaja: srednji sjaj. Izvedba do gotove funkcionalnosti prema uputama tehnologa proizvođača boje.

Radna visina: do ca. 0,9 m
Sustav slojeva: Lateks boja, otporna na habanje, razred mokrog habanja 1 2 prema EN 13300
Boja/stupanj sjaja: svijetla boja sukladno Kauflandovoj paleti boja",3.56,m2,6.8,24.21
406.020.00135,,x..WB205..x - naglašavanje zidova društvenih prostorija,"Bojanje zidova betona, gipskartona i opeke. Temeljni premaz s premazom dubinskog grundiranja koji se razrjeđuje vodom. Međusloj i završni sloj s lateks bojom. Razina sjaja: mat bez sjaja. Izvedba do gotove funkcionalnosti prema uputama tehnologa proizvođača boje.

Radna visina: do ca. [3,0] m
Sustav slojeva: Lateks boja, razred mokrog habanja 2 prema EN 13300",88.45,m2,6.8,601.46
406.020.00140,,"- strop od gips kartona, lateks boja","Bojanje podgleda gipskartonskih stropova i požarnih gipskartonskih konzola. Temeljni premaz koji se razrjeđuje vodom. Međusloj i završni sloj s lateks bojom. Stupanj sjaja: jak mat s premazom disperzijske boje. Izvedba do gotove funkcionalnosti prema uputama tehnologa proizvođača boje.

Radna visina: do ca. [6,0] m
Sustav slojeva: Lateks boja, razred mokrog habanja 2 prema EN 13300
Boja/stupanj sjaja: prema izboru investitiora",587.35,m2,6.8,3993.98
