Kod,Vrsta,Kratki opis,Dugi opis,,,,
402.010.00115,,"- gipskartonski zid debljine [ 150] mm, protupožarni","Izrada požarnog montažnog zida na granici požarnog sektora EI90 (nenosiva konstrukcija) iz GK presjeka debljine 15cm, oznake W112.
• dvostruka knauf protupožarna ploča DF d=12,5mm
• metalna jednostruka potkonstrukcija CW (100mm) za elastični ovjes gips-kartonskih ploča, ispuna kamena vuna A1 debljine 100mm)
• dvostruka knauf protupožarna ploča DF d=12,5mm
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Debljina zida: [ 150 ] mm
Visina zida: do [6,15] m
Kvaliteta gleta: Q - [ 2 ]",1045,m2,42.8938353557652,44824.06
402.010.00120,,"- gipskartonski zid debljine [ 150] mm, protupožarni","Izrada požarnog montažnog zida na granici požarnog sektora EI90 (nenosiva konstrukcija) iz GK presjeka debljine 15cm, oznake W112.
• dvostruka knauf ploča Diamant DFH2IR d=12,5mm
• metalna jednostruka potkonstrukcija CW (100mm) za elastični ovjes gips-kartonskih ploča, ispuna kamena vuna A1 debljine 100mm)
• dvostruka knauf ploča Diamant DFH2IR d=12,5mm
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Debljina zida: [ 150 ] mm
Visina zida: do [6,15] m
Kvaliteta gleta: Q - [ 2 ]",56,m2,46,2576
402.010.00125,,"- gipskartonski zid debljine [ 152 ] mm, protuprovalni","Izrada pregradnog protuprovalnog montažnog zida iz GK presjeka debljine 15cm oznake W118 RO3:
• trostruka Diamant ploče debljina 12,5mm + čelični lim 2x0,5mm
• jednostruka metalna potkonstrukcija d=75mm za elastični ovjes Vidiwall ploča, ispuna izolacijom klase min B2, debljine 60mm + sloj zraka 15mm
• trostruka Diamant ploče debljina 12,5mm + čelični lim 2x0,5mm
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Debljina zida: [ 152 ] mm
Visina zida: do [ 5,75] m
Kvaliteta gleta: Q - [ 2 ]",25,m2,58.9243211739253,1473.11
402.010.00130,,- obloga fasadnih limenih panela; GKB ploča,"Izrada obloge fasadnih limenih panela iz GKP presjeka (W623):
• gips-kartonske ploče (1.000 kg/m3) na jednostrukoj metalnoj potkonstrukciji, finalizirane površine; dvostruka obloga 2x1,25cm; visina oblaganja [ 3,3 ] m, gornji horizontalni rub zatvoriti (uključeno u cijenu)
• metalna potkonstrukcija CD [ 60/27 ], direktni ovjes za panele točkasto, za elastični ovjes gips-kartonskih ploča, ispuna meka mineralna vuna 3,0 cm
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.

Visina: do [3,3] m
Kvaliteta gleta: Q - [ 2 ]",28,m2,37,1036
402.010.00135,,- samostojeća gipskartonga obloga; GKB ploča,"Izrada samostojeće gipskartonske obloge iz GKP presjeka (W626):
• gips-kartonske ploče (1.000 kg/m3) na jednostrukoj metalnoj potkonstrukciji, finalizirane površine; dvostruka obloga 2x1,25cm; visina oblaganja [ 3,5 ] m, gornji horizontalni rub zatvoriti (uključeno u cijenu)
• metalna potkonstrukcija CW [ 100 ], samonosova obloga - učvršćeno za AB sokl ili pod te strop (ili gredu), za elastični ovjes gips-kartonskih ploča,
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.


Visina: do [6,5] m
Kvaliteta gleta: Q - [ 2 ]",390,m2,36,14040
402.010.00140,,- samostojeća gipskartonga obloga za formiranje instalacijskih zidova; GKB ploča,"Izrada samostojeće gipskartonske obloge iz GKP presjeka (W626):
• gips-kartonske ploče (1.000 kg/m3) na jednostrukoj metalnoj potkonstrukciji, finalizirane površine; dvostruka obloga 2x1,25cm; visina oblaganja [ 3,8 ] m, gornji horizontalni rub zatvoriti (uključeno u cijenu)
• metalna potkonstrukcija CW [ 100 ], samonosova obloga - učvršćeno za AB sokl ili pod te strop (ili gredu), za elastični ovjes gips-kartonskih ploča,
Svi spojevi moraju biti ljepljeni, bandažirani i gletani, fugirani, s obje strane pripremljeno za bojanje, bez bojanja. Izvedba do gotove funkcionalnosti a sve prema standardnim detaljima proizvođača sustava.
Ovom stavkom obrađeni zidovi u sanitarijama (instalacijski)

Visina: do [6,5] m
Kvaliteta gleta: Q - [ 2 ]",65,m2,36,2340
402.010.00145,,- Doplata za pojačanja u zidovima sa UA profilima,Doplata za vertikalna i horizontalna pojačanja iz UA profila oko otvora s priborom,300,m,11,3300
402.010.00150,,- Doplata za tipska pojačanja sanitarne opreme,Doplata za nabavu i ugradnju tipskih pojačanja za sanitarnu opremu uključujući UA profile,8,kom,12.99801202366,103.98
402.010.00155,,- Doplata za izradu špaleta oko otvora,Doplata za izradu špaleta širine do 10 do 30 cm,60,m,12.99801202366,779.88
402.010.00160,,- Doplata za izradu spoja zida sa trapeznim limom,Doplata za izradu spoja zida sa krovnim trapeznim limom neravne površine; 2-strana 2-slojna obloga,150,m,14,2100
