,,,,,,,,,,,,
Prilog 4- Ugovorni troškovnik- TRIBE INŽENJERING d.o.o.,,,,,,,,,,,,
31.03.2025.,,,,,,,,,,,,
,,,,,,,,,,,,
Kaufland Hrvatska k.d.,,,,,,,,,,,,
"Donje svetice 14 10000 Zagreb, Hrvatska",,,,,,,,,,,,
Broj telefona: 0994344287,,,,,,,,,,,,
,,,,,,,,,,,,
Projekt: Osijek-Retfala,,,,,,,,,,,,
"Gradilište: Svilajska ul., 31000 Osijek",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti dio su troškovnika te u slučaju ugovaranja postaju dio ugovora. Izvođač radova se dakle obavezuje na sve radove i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Cijene stavki se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz troškovnika. U slučaju proturječnosti između troškovnika i tehničke dokumentacije koja se predaje prilikom natječaja, vrijedi tehnička dokumentacija.

4.) Prije početka davanja ponude, ponuditelj je dužan pažljivo pročitati kompletan tekst općih uvjeta uz troškovnik, općih i posebnih uvjeta uz svaku grupu radova, tekst samog troškovnika i ostale dijelove tehničke dokumentacije. Ako opis bilo koje stavke u troškovniku dovodi do sumnje o načinu izvedbe ili upotrebu gradiva zahtijevane kvalitete, treba prije predaje ponude zatražiti pojašnjenje od ovlaštene osobe Investitora. Naknadno pozivanje na manjkavost ili nepoznavanje projektno-tehničke dokumentacije ili opisa u troškovniku neće se uzeti u obzir, niti smatrati razlogom za produženje roka izvedbe, a niti će se priznati bilo kakva razlika u cijeni s tog naslova.

5.) Tehnička dokumentacija koja se predaje prilikom natječaja informativnog je karaktera, a ponuđač je dužan u svom trošku izvršiti kontrolu projektno tehničke dokumentacije u smislu točnosti, tehničke ispravnosti, izvedivosti i međusobne usklađenosti. Sve eventualne primjedbe ponuditelj/izvoditelj dužan je pravovremeno uz ponudu, a u svakom slučaju prije izvedbe u pisanom obliku dostaviti Nadzoru i Naručitelju

6.) Ponuditelj je dužan provesti i kontrolu lokacije na licu mjesta prije davanja ponude. Jedinične cijene za pojedine vrste radova sadrže i sve one posredne troškove koji nisu iskazani u troškovniku, ali su neminovni za izvršenje radova predviđenih projektom.

7.) Organizacija gradilišta uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Dizalice za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u jediničnu cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Kompletnu režiju gradilišta usigurava i rješava ponuditelj/izvođač i i uključena je u jediničnu cijenu.

11.) Ponuditelj je obvezan redovno prikupljati i ,pravilno skladištiti i odvoziti na ovlašteni deponij sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova treba svakodnevno čistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastite građevinske opreme, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih radova.

14.) Prilikom izvođenja radova, izvoditelj treba zaštititi sve susjedne plohe, dijelove konstrukcije i prethodno izvedene radove na prikladan način a u skladu sa pravilima zaštite na radu, tako da ne dođe do oštećenja istih. Troškove zaštite treba izvoditelj ukalkulirati u ponudbenu cijenu izvođenja radova. Ukoliko ipak dođe do oštećenja prethodno izvedenih radova za koje je odgovoran izvoditelj ili njegov kooperant, dužan je iste o svom trošku dovesti u stanje prije oštećenja ili naručiti iste radove kod drugog izvoditelja na svoj teret.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom davanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova.

17.) Stavke troškovnika obuhvačaju konačno dovršenje radova definiranih po količini i kvaliteti, onosno podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku uzorka odlučuje naručitelj.

22.) Ako nije drukčije propisano, izmjene postojećih projektnih rješenja od strane ponuditelja/izvođača a koje utječu na mehaničku stabilnost, ponuditelj/izvođač je dužan u svom trošku ishoditi sve suglasnosti, dozvole i sl.
Projekt izvedenog stanja ukalkulirati u jedničnu cijenu te dostaviti Kauflandu u pisanom i digitalnom obliku.

23.) Svi radovi na objektu te primjenjeni sistemi gradnje moraju biti izvedeni prema pravilu struke, odnosnu u granicama dopuštenih tolerancija.

24.) Ukoliko je ugovoreni termin izvršenja objekta uključen i zimski odnosno ljetni period, to se neće posebno izvođaču priznavati na ime naknade za rad pri niskoj temperaturi, zaštita konstrukcija od hladnoće i vrućine, te atmosferskih nepogoda, sve mora biti uključeno u jediničnu cijenu. Za vrijeme zime objekat se mora zaštititi. Svi eventualni smrznuti dijelovi moraju se ukloniti i izvesti ponovo bez bilo kakve naplate. Ukoliko je temperatura niža od temperature pri kojoj je dozvoljen dotični rad, a Investitor ipak traži da se radi, Izvođač si ima pravo zaračunati naknadu po normi 6,006 ali u tom slučaju Izvođač snosi punu odgovornost za ispravnost i kvalitetu rada. To isto vrijedi i za zaštitu radova tokom ljeta od prebrzog sušenja uslijed visoke temperature.

25.) U jediničnu cijenu rada izvođač treba obuhvatiti i slijedeće radove, koji se neće zasebno platiti kao naknadni rad, čak i ako nisu izričito navedenei u troškovniku:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,,,,,,,
,,Dodatne opće informacije,"Ukoliko unutar opisa stavke nije navedeno drukčije, jediničnom cijenom obuhvatiti i:
- Proizvodnju odnosno dostavu
- Sastavljanje odnosno montažu
- Priključak
- Pripravnost i održavanje tijekom cijelog perioda izvođenja radova ili tijekom trajanja pojedine mjere
- Rastavljanje nakon završetka građevinske ili pojedine mjere, nakon što više nema potrebe ili nakon naredbe naručitelja
- Odvoz odnosno odlaganje
- sanitarni kontejner",,,,,,,,,
201.010,,Opći objekt na gradilištu,,,,,0,,0,,,
201.010.00100,,- Općenita organizacija gradilišta,"Općenita organizacija gradilišta za sve radove koje su navedene u ovom troškovniku ili samo za one koje se odnose na izvođača, tijekom cijelog trajanja građevinskih radova do primopredaje, sastoji se od:
- Pripreme i izrade potrebnih pristupnih puteva unutar gradilišta i na spoju sa postojećom infrastrukturom, skladišnih površina i površina za postavljanje kontejnera na gradilištu
- Osiguravanja pristupa i izlaza s gradilišta, ishođenja svih potrebnih javnopravnih dozvola i realizacije odgovarajućih mjera i propisa
- Uređaja, kranova, dizala, alata i pomoćnih sredstava, itd. koji su potrebni za izvođenje radova izvođača i podizvođača.
- Skela, dizalica, radnih platformi, itd. koji su potrebni za izvođenje radova izvođača i podizvođača - ukoliko nisu zasebno navedeni u opisu stavke
- Čišćenja prometnih putova na terenu, javnih prometnica i pješačkih putova na terenu od nečistoća odnosno onečišćenja koje proizlaze iz radova, svakodnevno ili po potrebi
- Sigurnosnih prometnih mjera, pogotovo na prometnim putovima na terenu, javnim prometnicama i pješačkim putovima na terenu, uklj. čišćenje snijega
- Dnevnih smještaja, sanitarnih čvorova, kontejnera za skladištenje radnog materijala i alata za izvođača i njegove podizvođače
- Uklanjanje oštećenja koje nastaje tijekom izvođenja radova na susjednim ili javnim terenima, cestama, pješačkim putovima, itd.
- pribavljanja i pripreme dodatnih površina za organizaciju gradilišta koje će se nakon završetka radova ponovo vratiti u prvotno stanje - ukoliko površine koje je pripremio naručitelj nisu dovoljne
- Svih sigurnosnih mjera koje su potrebne prema državnim zakonskim propisima, kao što su pregrade, zaštite od propadanja ili pada, kako bi se osigurala opasna područja
- Izrade stepenica za hitne slučajeve, platforma, itd., kako bi se osigurao siguran pristup svim područjima na gradilištu
- Imenovanja voditelja gradilišta i osobe odgovorne za sigurnost na radu u skladu s državnim zakonskim propisima za sve usluge naručitelja i njegovih podizvođača
- Mjera za sprječavanje nezgoda na terenu, susjednim terenima, javnim prometnicama i putovima za kupce
- Oprema za prvu pomoć u skladu s javnopravnim propisima za naručitelja i sve njegove podizvođače te za treće stranke i naručitelja
- dodatne usluge i mjere koje su potrebne prema državnim zakonskim propisima i javnopravnim uputama
- Planiranje i provedba mogućih potrebnih mjera za sprječavanje buke",1,paušal,0,0,0%,0,,0,
201.020,,Opskrba strujom i vodom na gradilištu,,,,0,1634.6,,1634.6,,,
201.020.00100,,- mrežno napajanje,"Potpuno spreman sustav opskrbe struje na gradilištu koji se sastoji od:
- Priključni ormar
- Ormara s brojilom
- Razvodi struje za gradilište (minimalno 6 x 16A/230V, 2 x 16A/400V, 1 x 32A/400V)
- Priključnih vodova
uklj. usklađivanje s distributerima, mrežne i priključne troškove, potrošnju i redovne tehničke provjere.
Izvedba u vanjskim prostorima s 2 komada, u unutarnjim prostorima na svakom katu na maksimalnoj udaljenosti od 50 m na vanjskom zidu te za opskrbu kontejnera.
Priključak na javnu mrežu s maksimalnim razmakom od 50 m počevši od granice terena.",1,paušal,0,0,0%,0,,0,
201.020.00110,,- gradilišna vodoopskrba,"Potpuno spreman sustav opskrbe vode na gradilištu koji se sastoji od:
- Brojila za vodu
- Mjesta za crpljenje
- Priključnih vodova
uklj. usklađivanje s distributerima, mrežne i priključne troškove te potrošnju.
Izvedba u vanjskim i unutarnjim prostorima s po 2 komada kao i za opskrbu kontejnera.
Priključak na javnu mrežu s maksimalnim razmakom od 10 m počevši od granice terena.",1,paušal,1634.6,1634.6,0%,1634.6,,0,
204,,Posebni temelj,,,,0,38615.36,,38615.36,,,
204.000,,Prethodne napomene,,,,0,0,,0,,,
,,ZTV - Dodatni tehnički uvjeti ugovora,"1.) Dodatni ugovoreni tehnički uvjeti su dio opisa usluga te u slučaju narudžbe postaju dio ugovora. Izvođač radova se dakle obavezuje na sve usluge i primjene koje proizlaze iz ovih uvjeta te su one uračunate u cijenu, ukoliko nisu zasebno ponuđene.

2.) Usluge se prikazuju kao neto iznos u državnoj valuti. Važeći zakonski propisani porez na dodanu vrijednost obračunava se zasebno.

3.) U slučaju proturječnosti dodatnih ugovorenih tehničkih uvjeta vrijede prvenstveno podaci iz popisa usluga. U slučaju proturječnosti između popisa usluga i planske dokumentacije koja se predaje prilikom natječaja, vrijedi planska dokumentacija.

4.) Ponuditelj se prije izdavanja ponude detaljno informirao o građevinskim zadaćama koje treba izvesti, ukoliko su povezane s ponuđenim i planiranim uslugama, tako da na temelju popisa usluga nema nikakvih nejasnoća kod obračuna. Naknadne reklamacije koje proizlaze iz nepoznavanja natječajne dokumentacije neće se uvažavati.

5.) Planovi i u njima navedeni objekti koji se izdaju prilikom natječaja služe za informaciju. Ta dokumentacija ponuditelja ne oslobađa od obveze za vlastitim pribavljanjem svih potrebnih informacija za određivanje cijene detaljnim pregledavanjem planskih dokumenata.

6.) Ponuditelj je posjetio lokacije kako bi procijenio sve potrebne usluge. Svi vidljivi uvjeti koji utječu na formiranje cijene uzeti su u obzir prilikom određivanja jedinične cijene.

7.) Organizacija gradilišta za vlastite potrebe uračunata je u cijenu, ukoliko nije ponuđena kao zasebna stavka.

8.) Sve potrebne naprave za podizanje, skele, strojevi, alati, pomoćna sredstva i konstrukcije uzeti su u obzir te su uračunati u cijenu.

9.) Skele za radove na fasadi i radove na krovu predmet su ovog natječaja. Ponuditelj smije koristiti postojeće skele uz poštivanje sigurnosnih uvjeta i na vlastitu odgovornost. Preinake na skelama nisu dozvoljene te se one moraju predati u ispravnom stanju u kojem su i preuzete.

10.) Struju i vodu na gradilištu osigurava odjeljak za organizaciju gradilišta od mjesta distribucije odnosno crpljenja za sve ostale usluge i radove.

11.) Ponuditelj je obvezan redovno prikupljati i pravilno odložiti sve otpadne materijale, ostatke, krhotine, građevinski otpad, ambalaže, obični otpad i slično o vlastitom trošku. Kod odlaganja otpada potrebno je pridržavati se svih javnopravnih uputa i propisa.

12.) Onečišćenja koja uslijed radova nastaju na susjednim terenima, zgradama, putovima, cestama, trgovima i slično, izvođač radova svakodnevno treba očistiti.

13.) Izvođač preuzima odgovornost za osiguravanje, skladištenje i spremanje vlastitih građevinskih naprava, strojeva, uređaja, alata i slično. Jednako vrijedi i za građevinske materijale, elemente i za ugradnju određenih uređaja i objekata sve do primopredaje obavljenih građevinskih usluga.

14.) Građevinski i konstrukcijski elementi se prilikom izvođenja radova odgovarajućim mjerama trebaju zaštititi od onečišćenja i oštećenja. Jednako tako i izvođač treba zaštititi vlastite usluge sve do primopredaje obavljenih građevinskih usluga.

15.) Sve potrebne mjere prema javnopravnim uputama i propisima za sigurnost i zaštitu zdravlja trebaju se uzeti u obzir te ih se treba pridržavati prilikom izvođenja radova.

16.) Prilikom izdavanja ponude i izvođenja radova treba se uzeti u obzir, uračunati i pridržavati se
- svih državnih i javnopravnih zakona, smjernica i propisa
- svih odgovarajućih tehničkih standarda, pravila i smjernica
- općeprihvaćenih pravila tehnike
- uputa, propisa i napomena proizvođača za ugradnju i obradu
- Kauflandovih građevinskih opisa, ugovorenih uvjeta i ostalih Kauflandovih dokumenata i planova
.

17.) Navedene usluge podrazumijevaju se kao gotove, potpune i funkcionirajuće, uklj. sve potrebne male dijelove i sredstva za pričvršćivanje, pomoćne materijale i sredstva, podkonstrukcije itd., kao i sve dodatne i posebne usluge - čak i kada one nisu detaljno opisane.

18.) Ako su treće stranke uključene u izvođenje predradnji, izvođač radova ih treba provjeravati. U slučaju nepravilnosti ili prigovora pravovremeno treba informirati naručitelja, tako da može tehnički i organizacijski dovršiti poslove.

19.) Obavezno se treba pridržavati svih Kauflandovih proizvodnih uputa, osim ako postoje opravdani razlozi za odstupanje (npr. dostupnost). U tom slučaju izvođač treba ponuditi istovjetni proizvod ili sustav te potvrditi istovjetnost. O njoj odlučuje naručitelj.

20.) Sustavi se izvode isključivo pomoću komponenata koje su predviđene od strane proizvođača sustava.

21.) Svi materijali, građevinski elementi i uređaji koji neposredno utječu na izgled i funkcionalnost prije ugradnje se trebaju provjeriti. Ugrađuju se tek nakon što naručitelj ili ovlaštena osoba odobri ugradnju na gradilištu. O vrsti i obliku predloška odlučuje naručitelj.

22.) Ukoliko nisu ponuđene kao posebne stavke, troškovi za projektiranje usluga trebaju se uračunati u cijene pojedinih radova. Opseg projektiranja ovisno o radnji i potrebi može uključivati lokalno mjerenje, statičke proračune, planiranje radova, proizvodnje, detalja i montaže na temelju Kauflandovih podataka i izradu revizijskih dokumenata.

23.) Sve konstrukcije, načini gradnje i sustavi moraju biti izvedeni tako da mogu prihvatiti odnosno kompenzirati uobičajene i dozvoljene tolerancije u pripremnim radovima odnosno u tlu.

24.) Otežane okolnosti koje su uvjetovane godišnjim dobom ili vremenskim uvjetima i koje se u normalnim uvjetima trebaju uzeti u obzir, ne predstavljaju opravdan razlog za dodatne troškove ili produženje rokova izvođenja. U slučaju dvojbe izvođač mora dokazati prisutnost izvanrednih okolnosti.

25.) Ovisno o gradilištu i uslugama potrebno je uzeti u obzir i uračunati sljedeće primjene i usluge, čak i ako nisu izričito navedene u popisu usluga:
- sve vrste transporta građevinskih materijala, elemenata, uređaja, objekata itd. do mjesta ugradnje
- potrebne i uobičajene pripreme i predobrade tla
- sve vrste bušenja, zavarivanja, lijepljenja, malih dijelova, sredstava za pričvršćivanje, međupoložaja, izolacije, brtvljenja, folija, spojeva itd. koje su potrebne za priključak, montažu i pričvršćivanje građevinskih dijelova i elemenata
- stručna priprema i priključak na sve okolne dijelove, ugradbene i nadgradne elemente i propuste
- sve izrade kutova, spojnih površina i elemenata, završnih elemenata, slobodnih krajeva itd.
- sve podloge za montažu, priključak i pričvršćivanje kao što su beton, zidani elementi, čelik, aluminij, limovi, gips karton, itd.
- potrebne spojne, kose i okrugle rezove te ostatke rezanja
- Izrada otvora i proreza za instalacije i ugradbene elemente drugih izvođača
- interno povezivanje kablovima i priključak objekata, dovod prema električnim trošilima na gradilištu od strane elektro izvođača",,,0,,,,,,
,,Razredi tla,"Razredi tla koji se navode u pozicijama definiraju se na sljedeći način:
Razred tla 1: Gornji pod
Razred tla 2: Tekuće vrste poda
Razred tla 3: Lako odvojive podne obloge
Razred tla 4: Srednje topljive vrste poda
Razred tla 5: Teško topljive vrste poda
Razred tla 6: Lako odvojivi kamen i slične vrste poda
Razred tla 7: Teško topljivi kamen

Vrijednosti štetnih tvari u tlu koje se navode u pozicijama definiraju se na sljedeći način:
Z0: neopterećen pod, ugradnja je moguća bez ograničenja
Z1: Mogućnost ugradnje je ograničena
Z2: Mogućnost ugradnje je vrlo ograničena

Razredi deponija za otpad koji se navode u pozicijama definiraju se na sljedeći način:
DK0: Deponij za mineralni otpad s niskim udjelom štetnih tvari. Radi se o redovnom deponiju za neopterećeni iskopni materijal i eventualni građevinski otpad ili usporedivi mineralni industrijski ili komercijalni otpad.
DKI: Deponij za srednje opterećeni (bezopasni) otpad. Radi se o redovnom deponiju za srednje opterećni iskopni materijal i građevinski otpad te usporedivi mineralni komercijalni otpad.
DKII: Deponij za opterećeni, ali bezopasni otpad. Radi se o redovnom deponiju za odlaganje predobrađenog kućnog otpada i usporedivog mineralnog komercijalnog otpada.",,,0,,,,,,
,,Podaci i informacije o građevinskom terenu,"U sljedećim pozicijama potrebno je uzeti u obzir i uračunati sljedeće usluge, čak i ako nisu izričito navedene:
- sve podatke i informacije o građevinskom terenu i podzemnim vodama koji su navedeni u procjeni građevinskog terena
- Utvrđivanje stanja okolnih terena, objekata, putova, cesta, trgova i slično, uključujući protokoliranje
- Uklanjanje oštećenja okolnih terena, objekata, putova, cesta, trgova i slično koji nastaju uslijed radova
- Zaštitu postojećih stabala i grmlja
- Utvrđivanje i razmatranje potrebnih mjera za zaštitu (podzemnih) voda
- Utvrđivanje i razmatranje potrebnih mjera za zaštitu od buke
- lokalizaciju i po potrebi osiguravanje postojećih vodova i kanala u radnom području izvođača
- lokalizaciju i po potrebi osiguravanje građevinskih objekata u radnom području izvođača
- lokalizaciju i po potrebi osiguravanje iskolčenja, graničnih kamenja, referentnih točaka, visinskih oznaka, itd. u radnom području izvođača
- ishođenje potrebnih dozvola za iskop kod nadležnih tijela
- Međutransporte i skladištenja radnog materijala izvođača, npr. za stvaranje slobodnog prostora za druge radove
- Ručne radove ukoliko nije moguće koristiti strojeve
- Ishođenje potrebnih javnopravnih dozvola za postavljanje posebnih temelja
- Mjerenje i niveliranje usluga od zadanih mjernih točaka odnosno osi
- Vađenje ili rezanje pilota do planirane visine, uklj. spojnu armaturu
- Prihvat i odlaganje ostataka od bušenja
- Prihvat i odlaganje prekomjernog betona i žbuke
- Prihvat i odlaganje dodataka za bušenje i ispiranje
- stručna provedba svih potrebnih naknadnih obrada
- Zaštite na rubovima, zaštite od pada i propadanja u sklopu usluga, i nakon završetka provedbe",,,0,,,,,,
204.010,,Bušenje pilota,,,,0,0,,0,,,
204.020,,Mikropiloti,,,,0,0,,0,,,
204.030,,Nodularni piloti od lijevanog željeza,,,,0,0,,0,,,
204.040,,Pa temelji,,,,0,0,,0,,,
204.050,,Šljunčani piloti,,,,0,0,,0,,,
204.060,,Ostali,,,,0,38615.36,,38615.36,,,
204.060.00100,,Retencija,"Dobava i ugradnja modularnog sustava za RETENCIJU oborinskih voda iz polipropilenskih skladišnih elemenata. Sustav se sastoji od jediničnog modula dimenzija: Š×V×D=60x91x120cm.
Korišteni sustav svojim karakteristikama mora osiguravati da montirana infiltracijska građevina:
- ima najmanje 97% ukupnog korisnog volumena;
- ima inspekcijski tunel min. pop. presjeka Š×V=100×500mm kako bi se omogućio slobodno kretanje inspekcijskim kamerama i opremi za čiščenje kroz sustav po dvijema osima (po uzdužnoj i poprečnoj osi montirane infiltracijske građevine);
- omogućava vizualnu kontrolu kroz jedan sloj sustava bez zapreka (pregrada) za jednostavniju kontrolu kamerom i smanjenje potrebnog broja inspekcijskih priključaka;
- bude sastavljena međusobnim spajanjem osnovnih elemenata metodom zidarskog preklopa čijim se korištenjem dobiva čvrsta i stabilna veza među jediničnim elementima (blokovima) istog sloja i koji osigurava bolju horizontalnu distribuciju vertikalnih opterečenja koja djeluju na sustav time povečavajuči stabilnost i trajsnost sustava.
- bude sastavljena od jediničnih elemenata koji imaju minimalnu tlačnu čvrstoću od 350 kN/m2.
Dimenzije sustava trebaju biti Š×V×D= 9,06×0,91×33,82 m, a minimalna korisna zapremnina 270 m3.
Projektom predviđena upotreba 4 inspekcijska okna integriranih u sustav (minimalni svijetli promjer okna 30cm), te detaljom definirana količina inspekcijskih priključaka za pristup u sustav njegovu kontrolu i održavanje (minimalni svijetli promjer 15cm).
Sve kao ACO STORMBRIXX SD900 ili jednakovrijedan.
Stavka NE UKLJUČUJE potreban materijal za BRTVLJENJE OVOJNICE RETENCIJE, te cijevi za povišenje inspekcijskih okana i priključaka od vrha spremnika do kote terena.",1,kom,36000,36000,0%,36000,,0,
204.060.00105,,Vodonepropusno brtvljenje retencije,"VODONEPROPUSNO BRTVLJENJE RETENCIJE
Dobava i ugradnja brtvenog sustav retencije, koji se sastoji iz:
unutarnjeg sloja geotekstila položenog na blokove, hidroizolacijske mebrane te vanjskog sloja geotekstila za osiguranje membrane od mehaničkog oštečenja.
Geotekstili se polažu s preklopom od min. 30 do 50 cm u podložnom i pokrovnom sloju geomembrane.
Geomembrana se spaja prikladnom metodom za ostvariravanje vodonepropusnog sloja (npr. s preklopom min. 8 cm metodom vrućeg spajanja dvostrukim varom za što izvoditelj mora imati obučene i ovlaštene zavarivače od proizvođača membrane.
Obračun po m2 razvijne površine, a količina, tip i oblik spojeva za varenje geomembrane prema detaljima iz projekta.",800,m2,,,0%,,,0,
