,,,,,
10.,"Nabava materijala, dovoz, montaža trostrne daščane glatke oplate i betoniranje AB nadvoja, betonom C25/30. Nadvoje armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona. Presjek betona je 25x29 cm i 25x55 cm.",m³,1.5,228,342
11.,"Nabava materijala, dovoz, montaža daščane glatke oplate i betoniranje armirano betonske ploče iznad prizemlja, betonom C25/30, debljine 15  cm. Podupiranje oplate do 3 metra. AB ploče armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,22,230,5060
12.,"Nabava materijala, dovoz, montaža dvostrane daščane glatke oplate i betoniranje armirano betonskih zidića na ploči iznad 1.kata, betonom C25/30, presjeka 10x20 cm. Zidove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,0.1,320,32
13.,"Nabava materijala, dovoz, montaža dvostrane daščane glatke oplate i betoniranje armirano betonskih zidova (atika) na AB ploči iznad prizemlja, betonom C25/30, presjeka 15x90 cm. Zidove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,7.1,260,1846
14.,"Nabava materijala, dovoz, montaža rubne glatke daščane oplate i betoniranje armirano betonske podne ploče, (nogostupa), debljine 10 cm, betonom C25/30. Ploču armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,1.2,198,237.6
,armatura,,,,
15.,"Nabava, dovoz, siječenje, svijanje, vezanje i postavljanje rebraste i mrežaste armature u konstruktivne elemente objekta. U cjenu uključeni potrebni držači rastojanja. PROCJENJENA KOLČINA.",kg,9000,1.5,13500
,,,,,
,BETONSKI I AB RADOVI,,UKUPNO:,EURA,33162.8
,,,,,
,4. ZIDARSKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i zidanje nosivih zidova blok opekom kao POROTHERM 25, dim. 250x375x238 cm u produžnom cementnom mortu marke MM-25. U cijenu uključena i pomoćna radna skela za zidanje.",m³,27,180,4860
2.,"Nabava materijala, dovoz i zidanje pregradnih zidova blok opekom kao POROTHERM 10, dim. 100x600x238 cm u produžnom cementnom mortu marke MM-25. U cijenu uključena i pomoćna radna skela za zidanje. U stavku uključeno i zidanje instalacijskih kanala u objektu.",m²,62,32,1984
3.,"Nabava, dovoz i ugradnja tipskih nadvoja na pregradnim zidovima iznad sobnih vrata dužina od 100 do 120 cm. Ugradnja pomoću produžnog morta.",kom,4,26,104
4.,"Nabava materijala, dovoz i strojno žbukanje unutrašnjih zidova vapneno cementnom žbukom kao Rofix 510 uz prethodno špricanje zidova rijetkim cementnim mortom kao Rofix 670 ili premazivanje betonskih površina Beton kontaktom (Baumit). U cijenu uključena i pomoćna radna skela za žbukanje. Debljina žbuke je 2 cm.",m²,325,14,4550
5.,"Nabava materijala, dovoz i strojno žbukanje stropova (AB ploče) vapneno cementnom žbukom kao Rofix 510 uz prethodno špricanje stropova rijetkim cementnim mortom kao Rofix 670 ili premazivanje betonskih površina Beton kontaktom (Baumit). U cijenu uključena i pomoćna radna skela za žbukanje. Debljina žbuke do 1,5 cm.",m²,103,16,1648
6.,"Nabava materijala, dovoz i strojno žbukanje greda u objektu, vapneno cementnom žbukom kao Rofix 510 uz prethodno špricanje stropova rijetkim cementnim mortom kao Rofix 670 ili premazivanje betonskih površina Beton kontaktom (Baumit). U cijenu uključeni potrebni pocinčani profili i pomoćna radna skela za žbukanje. Debljina žbuke do 2 cm.",m²,12,18,216
7.,"Nabava materijala, dovoz i izrada cementnog estriha debljine 5 cm. Estrih fino zagladiti jer se na njega lijepe keramičke pločice. U cijenu uključena i vlakna za vezu.",m²,7.4,12,88.8
8.,"Nabava materijala, dovoz i izrada cementnog estriha debljine 6 cm. Estrih fino zagladiti jer se na njega postavlja laminatni parket. U cijenu uključena i vlakna za vezu.",m²,95.5,13,1241.5
9.,"Nabava materijala, dovoz i izrada cementnog estriha u padu debljine 10 cm na podu ispod natkrivene terase. Estrih fino zagladiti. U cijenu uključena i vlakna za vezu.",m²,21,14,294
10.,"Nabava materijala, dovoz i izrada cementnog estriha u padu debljine 5 cm na ploči 1.kata. Estrih fino zagladiti. U cijenu uključena i vlakna za vezu.",m²,3.7,11,40.7
11.,"Nabava materijala, dovoz i zidanje dimnjaka sa gotovim tvorničkim elementima fi 16 cm.",m′,5,185,925
12.,"Nabava materijala, dovoz i postavljanje ukrasnih betonskih elemenata (kocki) debljine od 6 cm ispod nadstrešnice. Elementi se polažu u mješanu frakciju granulacije od 4 do 8 mm.",m²,4,42,168
13.,"Nabava materijala, dovoz i nasipanje oblutaka na ploču nadstrešnice, granulacije od 16 do 32 mm.",m²,3.7,32,118.4
14.,"Nabava materijala, dovoz i krpljenje šliceva nakon izvedbe instalaterskih radova. Šliceve krpiti u dva sloja cementnim mortom Rofix 620.",komplet,1,250,250
15.,Čišćenje gradilišta tijekom izvođenja radova i još jednom generalno nakon završetka svih građevinsko obrtničkih radova.,komplet,1,300,300
,,,,,
,ZIDARSKI RADOVI,,UKUPNO:,EURA,16788.4
,,,,,
,5. HIDRO I TERMO IZOLACIJSKI RADOVI,,,,
,,,,,
1.,Nabava materijala i izrada hidroizolacije podova prizemlja koja se sastoji od jednog hladnog premaza (kao Resitol) i jednog sloja varenom ljepenkom s uloškom staklene tkanine. Uključena hidroizolacija ispod zidova od opeke.,m²,145,12,1740
2.,"Nabava materijala, dovoz i postavljanje termoizolacijskog sloja na podove prizemlja. Termo izolacija se sastoji od jednog sloja ekspandiranog polistirena (EPS) debljine 3 cm, ekstrudirane polistirenske pjene (XPS) debljine 3 cm i polietilenske folije debljine 0,02 cm. ",m²,103,16,1648
3.,"Nabava materijala, dovoz i izrada hidroizolacije WC-a i kupatila. Hidroizolacija se izvodi nakon sušenja cementnog estriha u dva sloja. Na spoju poda i zida postavlja se hidroizolacijska traka i nanose se dva sloja hidroizolacijskog premaza kao Rofix, Sika, Ceresit. Uključeni i zidovi tuš kabina.",m²,15,28,420
,,,,,
,HIDRO I TERMO IZOLACIJSKI RADOVI,,UKUPNO:,EURA,3808
,,,,,
,6. RADOVI NA RAVNOM KROVU,,,,
,,,,,
1..,"Nabava materijala, dovoz i postavljanje termoizolacijskog sloja kao parne brane. Termoizolacija se sastoji od ekspandiranog polistirena debljine 15 cm i sloja polietilenske folije debljine 0,02 cm.",m²,134,38,5092
2.,"Nabava materijala, dovoz i montaža čelične krovne konstrukcije na AB ploči u padu od 7% i 9%. Konstrukcija se sastoji od kosih nosača dim.60/40/3 mm i vertikalnih stupića dim.40/40/3 mm. Kompletnu konstrukciju obojiti dva put temeljnom bojom i dva puta uljanom bojom. Uključen kompletan pričvrsni materijal i pribor. Obračun po m2 tlocrtne površine.",m²,134,35,4690
3.,"Nabava materijala, dovoz i montaža profiliranih krovnih tabli od čeličnog lima u boji, debljine 0,07 cm koji se pričvršćuje na postojeću čeličnu konstrukciju. Lim po izboru investitora.Uključen kompletan pričvrsni materijal i pribor. Obračun po m2 tlocrtne površine.",m²,134,42,5628
,,,,,
,RADOVI NA RAVNOM KROVU,,UKUPNO:,EURA,15410
,,,,,
,7. LIMARSKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i montaža horizontalnog oluka od aluminijskog lima debljine 0,55 mm. Presjek oluka je 20x15 cm. Opšav se postavlja na dio zida atike i pod krovni lim. Uključeni potrebni nosači, pričvrsni materijal i pribor. R.š. cca 70 cm.",m′,25.1,35,878.5
2.,"Nabava materijala, dovoz i montaža ravnog lima iznad horizontalnog oluka do opšava zida atike, od aluminijskog lima debljine 0,55 mm. Širina lima je cca 60 cm. Uključeni potrebni nosači, pričvrsni materijal i pribor. ",m′,25.1,28,702.8
3.,"Nabava materijala, dovoz i montaža bočnih opšava po kosini krova i uz zid atike, od aluminijskog lima debljine 0,55 mm. R.š. cca od 20 do 70 cm.",m′,24,47,1128
4.,"Nabava materijala, dovoz i montaža rigalica (lula) od aluminijskog lima d=0,55 mm. Rigalice postaviti kroz zid atike i spojiti sa vertikalnim olucima.",kom,4,60,240
5.,"Nabava materijala, dovoz i montaža vertikalnih oluka od aluminijskog lima d=0,55 mm. Uključeni potrebni nosači, pričvrsni materijal i pribor. Dim. 8x12 cm.",m′,12,26,312
