,,,,,,
,,,,,,
,,,,,,
,"se upoznati s načinom i detaljima izvođenja izolacija koji su opisani ovim troškovnikom, te s tehnologijom i specifičnostima izvođenja radova odabranog proizvođača. Sve eventualne nejasnoće i nedoumice izvoditelj je dužan dogovoriti i uskladiti s projektantom prije davanja ponude. Nikakvi naknadni zahtjevi neće se moći uvažiti.
Svi materijali koji se ugrađuju moraju obvezno biti ispitani i certifikati priloženi. Ukoliko ne postoje domaće norme, treba priložiti rezultate ispitivanja koji zadovoljavaju odredbe ISO, EN ili jednakovrijednih normi.
Jediničnom cijenom obuhvatiti:
- sav potreban materijal, rad i transport do mjesta ugradbe;
- sva potrebna uskladištenja i zaštite, sve potrebne zaštitne konstrukcije, skele i dizalice;
- RAL ugradnju;
- plastificirane aluminijske opšavne limove na spojevima sa susjednim stavkama;",,,,,
,"- sva brtvljenja i kitanja reški i dilatacija između pojedinih elemenata same stavke i između stavke i susjednih ploha.
Ugradnju vanjske aluminijske bravarije izvesti prema smjernicama RAL,
te smjernicama dobavljača sistema. Tzv. RAL ugradnja podrazumijeva:
- ugradnju prozora na pravilnu liniju izoterme (vanjska strana špalete);
- ugradnju prozora na sistemski PVC bazni profil - nema toplinskog mosta;
- ugradnju hidroizolacijskih paropropusnih folija s vanjske strane;
- ugradnju paronepropusnih folija s unutarnje strane priključka;
- širinu bočne fuge između štoka i zida širine prema RAL tabeli;
- ugradnju stakla s okvirom u skladu sa zahtjevima zaštite od buke.
Preklapanje svih izolacionih folija (najmanje 100",,,,,
,"mm) izvesti na objektu uz mehaničko učvršćenje i potrebnu toplinsku izolaciju. Izvoditelj radova obavezan je ispravno izabrati sve izolacijske materijale na unutarnjoj i vanjskoj strani fasade i to biti u stanju dokazati.
Uključivo svi potrebni tipski profili, elementi, fazonski komadi i/ili sl. Obaveza je izvođača proučiti sve projekte predmetne građevine, te u jedinične cijene stavki uračunati sve radove, potrebne materijale, njihove količine i/ili sl. (eventualno ne specificirane posebno u samom troškovniku), a koji su potrebni za potpuno dovršenje građevine, odnosno dovođenje u stanje ""potpuno spremno za uporabu"", do pune gotovosti i funkcionalnosti. Svi takvi radovi i materijali trebaju biti uračunati u jedinične cijene.
Obračun radova vrši se prema važećim propisima, po stvarno izvedenim količinama. Jediničnom cijenom obuhvaćen je sav rad, potreban materijal s transportom na gradilište, skele potrebne za",,,,,
,"izvođenje pojedinih radova, primjena mjera zaštite na radu i drugih važećih propisa.",,,,,
,,,,,,
RB,STAVKA,JEDINICA MJERE,KOLIČINA,JEDINIČNA CIJENA,UKUPNA CIJENA,
,,,,,,
12.1.,STANDARDNA VANJSKA BRAVARIJA,,,,,
,,,,,,
,OPĆI UVJETI,,,,,
,,,,,,
,Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.1.,,,,,
,,,,,,
12.1.1.,Opis sustava,,,,,
,,,,,,
12.1.2.,Završna obrada otvora i dodataka,,,,,
,,,,,,
12.1.3.,Otvori,,,,,
,,,,,,
12.1.4.,Toplinska i zvučna izolacija,,,,,
,,,,,,
12.1.5.,Ostakljenja,,,,,
,,,,,,
12.1.6.,Dimenzioniranje i pričvršćenja na zidove,,,,,
,,,,,,
12.1.7.,Kontrole,,,,,
,,,,,,
12.1.7.1.,"Strukturalna fasada 
- unutar fasadnih panela debljine 18 cm",,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada ostakljenih fasadnih stijena u sistemu strukturalne fasade.
Okviri stijena izrađuju se od aluminijskih fasadnih profila s prekinutim toplinskim mostom, kao Metra Poliedra SKY 50 CV ili jednakovrijedno.

Koeficijent prolaska topline za sklop ostakljenih stijena Uw=1,55 W/m2K.
_Ostakljenje IZO staklom, tip A: 66.2 low iron (laminirano staklo 6+6 mm, s PVB folijom debljine 0,76 mm) + 27 mm šupljina ispunjena argonom 90% + 66.2 low iron (laminirano staklo 6+6 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE premaz na površini 3. Koeficijent prolaska topline Ug=1,1 W/m2K. Ff=0,70, gokom.=0,60, Fc,H=1,00, Fc,C=0,50.
_Ostakljenje IZO staklom, tip B: 66.2 low iron (laminirano staklo 6+6 mm, s PVB folijom debljine 0,76 mm) + 27 mm šupljina ispunjena argonom 90% +",,,,,
,"66.2 low iron (laminirano staklo 6+6 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE premaz na površini 3. Koeficijent prolaska topline Ug=1,1 W/m2K. Ff=0,70, gokom.=0,50, Fc,H=1,00, Fc,C=1,00.

Stavka uključuje sve potrebne elemente pričvršćenja - slijepe dovratnike, spojne ploče i vijčani pribor u skladu s Eurospin standardom. Svi sidreni i spojni elementi kontinuirane fasade vruće cinčani u ""suhoj"" zoni, inox A2 kvalitete u ""mokroj"" zoni.
U jediničnoj cijeni stavke uključene su sve obrade priključaka ostakljenih stijena na konstrukciju građevine i na druge sustave fasadne obloge - opšavi od aluminijskog lima završne obrade kao profili.
Završna obrada profila plastificiranjem u boji RAL 7043, gloss 20 prema tehničkim standardima QUALITAL i QUALICOAT.",,,,,
,"Završna obrada pribora (okov, ručke, kvake itd.) satin krom aluminijska.

Stijene opremiti:
1.Zaštitom od sunca: rolo zavjesama, postavljenim između unutarnjih stupova. Isporuka i montaža ručne unutarnje filtrirne platnene rolete, sa specifičnim mehanizmom za rolo zavjese sa ručnim upravljanjem pomicanjem čeličnog lančića za aktiviranje role. Mehanizam opremljen kompenzacijskom oprugom integriranom u valjak, kako bi se omogućilo smanjenje napora potrebnog za podizanje rolete. Sustav u kompletu sa šipkom koja podupire valjak i osigurava brzo spajanje – odvajanje. Valjak izrađen od aluminijske legure A6063 S T5, promjera oko 36 mm, zajedno s utorom za umetanje tkanine za rolete. Profili i kape od plastike farbane istom bojom staklene stijene ili crnom bojom. Aluminizirana filterska tkanina u svijetlosivoj boji u dogovoru sa Eurospin Italia,",,,,,
,"sa sljedećim karakteristikama:
Vanjska sunčeva refleksija =74%,
Prosječni omjer otvaranja =2%
Emisivnost metalne strane =0,19
Adhezija metalnog premaza = klasa 0 prema ISO2409
Tkanina izrađena od 100% poliestera, bez PVC-a i staklenih vlakana. Reakcija na požar: IT – Klasa 1 prema UNI 9177, EU Klasa B-s2, d0 UNI EN 13501-1:2009. U kompletu s tračnicama i sajlama od nehrđajućeg čelika pričvršćenim na gornje i donje prečke, s obje strane sjenila. Proizvodi moraju imati CE certifikat.

2. Vratima za evakuaciju: Evakuacijska izlazna jednokrilna zaokretna ostakljena vrata, otvaranje prema van, u kompletu s panik letvom, s CE certifikatom i odobrenjem. Vratna krila izrađuju se od aluminijskih fasadnih profila s prekinutim toplinskim mostom, kao Metra NC 65 HDS ili jednakovrijedno. Ostakljenje tip B. Vrata",,,,,
,"opremljena s 3 bočne točke zaključavanja i čeličnim zasunima.
Vrata opremljena evakuacijskim potisnim letvama iznutra i fiksnom kuglom s rozetom izvana, u inox izvedbi, sukladno EN1125 ili jednakovrijedno. Panik letva, dodaci i ručke obojeni u svijetlo sivu boju. Brava s panik funkcijom B (ručica izvana omogućena samo okretanjem ključa), s kvakom i euro cilindričnom bravom s klinovima (5) po potrebi u detaljima prozora. Uključujući intrados, “L” profile, opšave od zvučno izoliranog aluminijskog lima 15/10, protuprovalne perle za staklo, podesivi panti (3/4 kom) s prirubnicama (3 kom), minimalno opterećenje 150 kg, podni ili zidni graničnik otvaranja. Završni i kompenzacijski elementi lakirani u boju kao staklena stijena. Uključujući sve ostalo potrebno za dovršetak radova u skladu s najboljom praksom. Vrata spojena na sustav vatrodojave koja se u slučaju požara automatski otvaraju i ostaju u",,,,,
,"otvorenom položaju. Evakuacijska izlazna vrata unutar prodajnog prostora opremljena aluminijskim pragovima. Ugradnja unutar staklene stijene SS4.

Ugradnju izvesti prema smjernicama i pravilima RAL ugradnje i smjernicama dobavljača sistema. Stavka uključuje sve potrebne brtveće folije, bubreće trake i montažne pjene.
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.1.1.-12.1.8.
Sve prema shemi bravarije SS2, SS3, SS4.
Obračun po m2.",,,,,
12.1.7.1.a.,"Shema bravarije SS2, sjeverna orijentacija, ostakljenje tip A",m²,6.42,410,2632.2,
12.1.7.1.b.,"Shema bravarije SS3, istočna orijentacija, ostakljenje tip B",m²,14.22,410,5830.2,
12.1.7.1.c.,"Shema bravarije SS4, istočna orijentacija, ostakljenje tip B",m²,14.22,410,5830.2,
12.1.7.1.d.,"Vrata za evakuaciju unutar stavke SS4, svj. mjere 120x225 cm, panik letva",komad,1,1600,1600,
,,,,UKUPNO:,15892.6,
,,,,,,
12.1.7.,Strukturalna fasada UKUPNO:,,,,15892.6,0
,,,,,,
12.1.8.,Ostakljeni sigurnosni izlaz prodajnog prostora,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada evakuacijskih dvokrilnih zaokretnih ostakljenih vrata s nadsvjetlom u prodajnom prostoru.
Okviri i krila izrađuju se od aluminijskih fasadnih profila s prekinutim toplinskim mostom, kao Metra NC 65 HDS ili jednakovrijedno.
Koeficijent prolaska topline za sklop vrata Uw=1,55 W/m2K.
Ostakljenje IZO staklom: 44.2 low iron (laminirano staklo 4+4 mm, s PVB folijom debljine 0,76 mm) + 16 mm šupljina ispunjena argonom + 44.2 mid iron (laminirano staklo 4+4 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE, Ug=1,1 W/m2K.
Vrata spojena na sustav vatrodojave koja se u slučaju požara automatski otvaraju i ostaju u otvorenom položaju.
Stavka uključuje sve potrebne elemente pričvršćenja - slijepe dovratnike, spojne ploče i",,,,,
,"vijčani pribor u skladu s Eurospin standardom.
U jediničnoj cijeni stavke uključene su sve obrade priključaka vrata na konstrukciju građevine i na druge sustave fasadne obloge - opšavi od aluminijskog lima završne obrade kao profili.
Završna obrada profila plastificiranjem u boji RAL 7043, gloss 20.
Vrata opremiti:
1. okovom za zaokretna krila - podesivim pantima, minimalno 3 kom/krilu;
2. cilindar bravom s 3 točke zaključavanja za jednokrilna vrata, odnosno 5 točaka zaključavanja za dvokrilna vrata + ključ u sustavu masterkeya;
3. evakuacijskim potisnim letvama iznutra i fiksnom kuglom s rozetom izvana, u inox izvedbi, sukladno EN1125 ili jednakovrijedno;
4. prema potrebi pragom u inox izvedbi;
5. sustavom zaštite od sunca s ALU žaluzinama na ručni pogon, kao Pellini Screen Line B ili",,,,,
,"jednakovr., sa žaluzinama širine 16 mm, bijele boje - S102.;
6. podnim ili zidnim graničnikom otvaranja.
Ugradnju izvesti prema smjernicama i pravilima RAL ugradnje i smjernicama dobavljača sistema. Stavka uključuje sve potrebne brtveće folije, bubreće trake i montažne pjene.
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.1.8.
Detalji izvedbe u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - poglavlje 12. - prikazi 51 i 52.
Sve prema shemi bravarije V2.
Obračun po kompletu.",,,,,
12.1.8.a.,"Vrata dimenzija 242/225+110 cm, u fasadnom panelu debljine 18 cm.",komplet,1,3550,3550,
,,,,,,
12.1.9.,Sigurnosni izlaz s punim krilima,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada evakuacijskih jednokrilnih zaokretnih punih vrata s nadsvjetlom.
Okviri se izrađuju od aluminijskih fasadnih profila, krila od unutarnjeg i vanjskog aluminijskog lima debljine 1,5 mm, te unutarnje ispune krila od kamene vune debljine minimalno 4 cm.
Koeficijent prolaska topline za sklop vrata Uw=2,00 W/m2K.
Stavka uključuje sve potrebne elemente pričvršćenja - slijepe dovratnike, spojne ploče i vijčani pribor u skladu s Eurospin standardom.
Ostakljenje nadsvjetla IZO staklom: 44.2 low iron (laminirano staklo 4+4 mm, s PVB folijom debljine 0,76 mm) + 16 mm šupljina ispunjena argonom + 44.2 mid iron (laminirano staklo 4+4 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE, Ug=1,1 W/m2K.",,,,,
,"Nadsvjetlo fiksno ostakljeno i/ili sa zaokretnim krilom spojenim na sustav vatrodojave koje se u slučaju požara automatski otvara i ostaju u otvorenom položaju.
U jediničnoj cijeni stavke uključene su sve obrade priključaka vrata na konstrukciju građevine i na druge sustave fasadne obloge - opšavi od aluminijskog lima završne obrade kao profili.
Završna obrada profila plastificiranjem u boji RAL 7043, gloss 20.
Vrata opremiti:
1. okovom za zaokretna krila - podesivim pantima, minimalno 3 kom/krilu;
2. cilindar bravom s 3 točke zaključavanja za jednokrilna vrata, odnosno 5 točaka zaključavanja za dvokrilna vrata + ključ u sustavu masterkeya;
3. evakuacijskim potisnom letvom iznutra i fiksnom kuglom s rozetom izvana, u inox izvedbi, sukladno EN1125 ili jednakovrijedno;",,,,,
,"4. hidrauličnom povratnom pumpom s vodilicom na vratnom krilu;
5. prema potrebi pragom u inox izvedbi;
6. podnim ili zidnim graničnikom otvaranja.
Ugradnju izvesti prema smjernicama i pravilima RAL ugradnje i smjernicama dobavljača sistema. Stavka uključuje sve potrebne brtveće folije, bubreće trake i montažne pjene.
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 13.1.9.
Sve prema shemama bravarije V1 i V1a.
Obračun po kompletu.",,,,,
12.1.9.a.,"Vrata dimenzija 120/225+100 cm, u fasadnom panelu debljine 18 cm.
Mjesto ugradbe: skladište. Shema bravarije V1",komplet,2,2300,4600,
12.1.9.b.,"Vrata dimenzija 120/215+110 cm, u armiranobetonskom zidu debljine 29 cm, obloženom toplinskim fasadnim sustavom debljine 16 cm. 
Mjesto ugradbe: stubište. Shema bravarije V1a",komplet,1,3300,3300,
,,,,UKUPNO:,7900,
,,,,,,
12.1.10.,Trakasti prozori s otklopnim krilima i zaokretnim krilima spojenim na sustav vatrodojave i jednodijelni prozor spojen na sustav vatrodojave ,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada jednokrilnog prozora i prozorske trake s otklopnim krilima i zaokretnim krilima spojenim na sustav vatrodojave koja se u slučaju požara automatski otvaraju i ostaju u otvorenom položaju.
Okviri i krila izrađuju se od aluminijskih fasadnih profila s prekinutim toplinskim mostom, kao Metra NC 65 HES ili jednakovrijedno.
Koeficijent prolaska topline za sklop prozora Uw=1,55 W/m2K.
Ostakljenje IZO staklom: 44.2 low iron (laminirano staklo 4+4 mm, s PVB folijom debljine 0,76 mm + 16 mm šupljina ispunjena argonom + 44.2 mid iron (laminirano staklo 4+4 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE. Koeficijent prolaska topline Ug=1,1 W/m2K. Ff=0,70, gokom.=0,50, Fc,H=1,00, Fc,C=1,00.
Stavka uključuje sve potrebne elemente pričvršćenja - slijepe dovratnike, spojne ploče i",,,,,
,"vijčani pribor u skladu s Eurospin standardom.
U jediničnoj cijeni stavke uključene su sve obrade priključaka prozora na konstrukciju građevine i druge sustave fasadne obloge - opšavi od aluminijskog lima završne obrade kao profili.
Završna obrada profila plastificiranjem u boji RAL 7043, gloss 20.
Prozor opremiti:
1. okovom za otklopno otvaranje krila;
2. ventus sustavom otvaranja krila pomoću ručnog upravljanja, ''kurbla'' kao Geze;
3. vanjskom klupčicom.
Ugradnju izvesti prema smjernicama i pravilima RAL ugradnje i smjernicama dobavljača sistema. Stavka uključuje sve potrebne brtveće folije, bubreće trake i montažne pjene.
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih",,,,,
,"oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.1.10., 12.1.12.
Obračun po kompletu.",,,,,
