,,,,,,
,,,,,,
,,,,,,
12.1.11.a.,"Jednodjelni prozor dimenzija 140/100 cm, u fasadnom panelu debljine 18 cm, s otklopnim krilom.
Sve prema shemi bravarije P1.
Mjesto ugradbe: prostor za obradu - mesnica.",komplet,2,780,1560,
12.1.11.b.,"Trodjelni prozor dimenzija 420/100 cm, u fasadnom panelu debljine 18 cm, s otklopnim krilima.
Sve prema shemi bravarije P2.
Mjesto ugradbe: prostor za obradu - pekarnica.",komplet,1,2200,2200,
12.1.11.c.,"Dvodjelni prozor dimenzija 273/100 cm, u zidu sastavljenom od postojećeg zida debljine cca 30 cm, potkonstrukcije i završne obloge zida od fasadnog izolacijskog panela debljine 18 cm, sveukupno cca 54 cm, s fiksnim poljima.
Sve prema shemi bravarije P5.
Mjesto ugradbe: prodajni prostor - odjel voća i povrća.",komplet,1,1470,1470,
12.1.11.d.,"Trodjelni prozor dimenzija 410/100 cm, u zidu sastavljenom od postojećeg zida debljine cca 30 cm, potkonstrukcije i završne obloge zida od fasadnog izolacijskog panela debljine 18 cm, sveukupno cca 54 cm, s fiksnim poljima.
Sve prema shemi bravarije P6.
Mjesto ugradbe: prodajni prostor.",komplet,1,2050,2050,
,,,,UKUPNO:,7280,
,,,,,,
12.1.12.,Odbojnici za zaštitu ostakljenih stijena,,,,,
,"Isključivo montaža odbojnika za zaštitu od udaraca ostakljenih stijena (strukturalna fasada i vjetrobran).
Odbojnici se sastoje od:
_ nosača izrađenog od AISI 304 nehrđajućeg lima debljine 4 mm, s pričvrsnom pločom od AISI 304 lima debljine 8 mm, koji se pričvršćuje u nosive profile strukturalne fasade pomoću skrivenog vijčanog pribora;
_ linijskog odbojnika izrađenog od AISI304 nehrđajuće cijevi promjera 48 mm, debljine stjenke 2 mm, koji se pričvršćuje na nosače TIG zavarivanjem sa skrivenim varom. Na kraju cijevi ravne kapice od istovjetnog materijala lijepljene su epoksi ljepilom.
U stavci uključen sav potreban spojni i montažni pribor.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.1.13.",,,,,
,"Detalji izvedbe u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - poglavlje 12. - prikaz 34.
Sve prema shemi bravarije CB-6.
Odbojnike dobavlja Eurospin.
Obračun po m1.",,,,,
12.1.12.a.,Vanjski odbojnici na strukturalnoj fasadi i vjetrobranu,m,21.42,43,921.06,
12.1.12.b.,Unutarnji odbojnici u vjetrobranu.,m,5.77,43,248.11,
12.1.12.c.,Unutarnji odbojnici na strukturalnoj fasadi.,m,18.54,43,797.22,
,,,,UKUPNO:,1966.39,
,,,,,,
12.1.13.,Stijene vjetrobrana u sistemu strukturalne fasade,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada ostakljenih fasadnih stijena vjetrobrana u sistemu strukturalne fasade s jednokrilnim i dvokrilnim automatskim kliznim vratima.
Okviri stijena izrađuju se od aluminijskih fasadnih profila s prekinutim toplinskim mostom, kao Metra Poliedra SKY 50 CV, Schüco ili jednakovrijedno.
Koeficijent prolaska topline za sklop ostakljenih stijena Uw=1,55 W/m2K.
Ostakljenje IZO staklom: 66.2 low iron (laminirano staklo 6+6 mm, s PVB folijom debljine 0,76 mm) + 27 mm šupljina ispunjena argonom 90% + 66.2 low iron (laminirano staklo 6+6 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE premaz na površini 3. Koeficijent prolaska topline Ug=1,1 W/m2K.
Stavka uključuje sve potrebne elemente pričvršćenja - slijepe dovratnike, spojne ploče i",,,,,
,"vijčani pribor u skladu s Eurospin standardom. Svi sidreni i spojni elementi strukturalne fasade vruće cinčani u ""suhoj"" zoni, inox A2 kvalitete u ""mokroj"" zoni.
U jediničnoj cijeni stavke uključene su sve obrade priključaka vrata na konstrukciju građevine i na druge sustave fasadne obloge - opšavi od aluminijskog lima završne obrade kao profili.
U sklopu fasadnih stijena ugrađuju se jednokrilna i dvokrilna automatska klizna vrata izrađena od aluminijskih profila kao ASSA ABLOY Entrance system Slim Eco Telescopic ili jednakovrijedno, širine 30 mm.
Ostakljenje kliznih vrata IZO staklom: 33.1 (laminirano staklo 2x3 mm, s PVB folijom debljine 0,76 mm) + 10 mm šupljina ispunjena argonom + 33.1 (laminirano staklo 2x3 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE, Ug=1,1 W/m2K.
Završna obrada profila plastificiranjem u boji",,,,,
,"RAL 7043, gloss 20.
Klizna vrata opremiti:
1. okvirom krila s kliznim okovom, sustavom vodilica i pogonom vrata, kao ASSA ABLOY Slim Eco Telescopic s automatikom ASSA ABLOY UNISLIDE T, te
pogonom ASSA ABLOY SL500 ili GEZE ISO s automatizacijom Ec drive T2 ili jednakovrijedno;
2. sustavom unutarnjeg i vanjskog radara, kao ASSA ABLOY ili GEZE ili jednakovrijedno;
3. mehaničkim sustavom otvaranja odnosno deblokade;
4. elektromotornom bravom s pripremom elektroinstalacije i izradom spoja na vatrodojavnu centralu;
5. sustavima za automatsko zatvaranje u slučaju kada dobiju signal od sustava vatrodojave (baterija ili protuuteg);
6. tipkalom za deblokadu vrata s pripremom elektroinstalacije i izradom spoja na",,,,,
,"vatrodojavnu centralu;
7. sustavom prisilnog otvaranja s pripremom elektroinstalacije i izradom spoja na vatrodojavnu centralu.
Ugradnju izvesti prema smjernicama i pravilima RAL ugradnje i smjernicama dobavljača sistema. Stavka uključuje sve potrebne brtveće folije, bubreće trake i montažne pjene.
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.1.1. - 12.1.7. i 12.1.14.
Detalji izvedbe u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - poglavlje 12. - prikazi 35 i 36.
Sve prema shemi bravarije SS1.",,,,,
,Obračun po m2 i kompletu.,,,,,
12.1.13.a.,Strukturalna fasada vjetrobrana (vanjska i unutarnja).,m²,54.31,400,21724,
12.1.13.b.,Vanjska jednokrilna automatska klizna vrata dimenzija svijetlog otvora 110/240 cm.,komplet,2,2800,5600,
12.1.13.c.,Unutarnja dvokrilna automatska klizna vrata dimenzija svijetlog otvora 145/240 cm.,komplet,1,3000,3000,
,,,,UKUPNO:,30324,
,,,,,,
,,,,,,
12.1.,STANDARDNA VANJSKA BRAVARIJA UKUPNO:,,,,78032.99,0
,,,,,,
12.2.,NESTANDARDNA VANJSKA BRAVARIJA,,,,,
,,,,,,
,OPĆI UVJETI,,,,,
,,,,,,
,Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.2.,,,,,
,,,,,,
12.2.1.,Komarnik ,,,,,
,"Izrada, isporuka i ugradnja vanjskog komarnika u fiksnom aluminijskom okviru, sive mat boje RAL 7043 GLOSS 20, kao prozori. Ugradnja direktno na vanjsku stranu prozora koji se otvaraju.
U stavci uključen sav potreban spojni i montažni pribor.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.2.3.
Obračun po kompletu.",,,,,
12.2.1.a.,"komarnik uz prozor P1, dimenzija 140/100 cm.",komplet,2,105,210,
12.2.1.b.,"komarnik uz prozor P2, dimenzija 420/100 cm.",komplet,1,210,210,
12.2.1.c.,"komarnik uz prozore P3 i P4, dimenzija 500/100 cm.",komplet,2,350,700,
,,,,UKUPNO:,1120,
,,,,,,
12.2.2.,Ulazna stijena poslovnog prostora na prvom katu,,,,,
,"Izrada, doprema na gradilište, ugradnja i pripasivanje ulazne trodijelne stijene od PVC profila - jednokrilna, zaokretna vrata, fiksno polje i zaokretno-otklopni prozor, ukupnih dimenzija 290x127-222 cm. Vrata svijetle mjere 91/215 cm.
Svi PVC profili 6 komorni s ugrađenim čeličnim profilom - ojačanjem, s 2 (dvije) brtve.
Okov je sistemski, klase antikorozivnosti 5 prema HRN EN 1670. Koeficijent prolaska topline Uw=1,55 W/m2K.
Ostakljenje IZO staklom: 44.2 low iron (laminirano staklo 4+4 mm, s PVB folijom debljine 0,76 mm) + 16 mm šupljina ispunjena argonom + 44.2 mid iron (laminirano staklo 4+4 mm, s akustičnom PVB folijom debljine 0,76 mm); lowE, Ug=1,1 W/m2K.
Ugradnja u postojeći ab zid, zid od opeke i sl. s toplinskom fasadom.
Stavka uključuje sve potrebne elemente",,,,,
,"pričvršćenja - slijepe dovratnike, spojne ploče i vijčani pribor u skladu s Eurospin standardom.
U jediničnoj cijeni stavke uključene su sve obrade priključaka vrata na konstrukciju građevine i na druge sustave fasadne obloge - opšavi od aluminijskog lima završne obrade kao profili.
Boja po izboru predstavnika investitora, bijela.
Vrata opremiti:
1. okovom za zaokretna krila - podesivim pantima, minimalno 3 kom/krilu, otvaranje prema unutra;
2. cilindar bravom s 3 točke zaključavanja za jednokrilna vrata + ključ u sustavu masterkeya;
3. evakuacijskom kvakom iznutra i fiksnom kuglom s rozetom izvana, u inox izvedbi, sukladno HRN EN 179 ili jednakovrijedno;
4. donji profil, prag je aluminijski, s prekidom toplinskog mosta, ukupne visine 20 mm, na spoju s podom treba biti pripremljen za prihvat hidroizolacije te se dodatnim profilom vezati na",,,,,
,"vanjsko opločenje stepenica cca 2 cm niže od nivoa poda unutar građevine, s vanjske strane EPDM brtva;
5. podnim ili zidnim graničnikom otvaranja.
Ugradnju izvesti prema smjernicama i pravilima RAL ugradnje i smjernicama dobavljača sistema. Stavka uključuje sve potrebne brtveće folije, bubreće trake i montažne pjene.
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Mjesto ugradbe: prvi kat, novi vanjski ulaz. Obračun po komadu / kompletu kompletne izvedbe, do potpune gotovosti i pune funkcionalnosti.",,,,,Napomena: prema uputi investitora stavka uklonjena iz ponude - ne izvodi se
12.2.2.a.,,komplet,1,,,
,,,,,,
12.2.,NESTANDARDNA VANJSKA BRAVARIJA UKUPNO:,,,,1120,0
,,,,,,
12.3.,STANDARDNA UNUTARNJA BRAVARIJA,,,,,
,,,,,,
,OPĆI UVJETI,,,,,
,,,,,,
,Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.3.,,,,,
,,,,,,
12.3.1.,Unutarnja vrata pomoćnih prostora,,,,,
,,,,,,
12.3.1.1.,Unutarnja vrata predprostora za kupce,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada unutarnjih jednokrilnih zaokretnih punih vrata predprostora za kupce iz PVC ploča i profila, presvučena glatkim plastičnim laminatom otpornim na ogrebotine. Dovratnik, krilo, pokrovne letvice završna obrada i rub panela u PVC-u u boji RAL 9010.
Vrata opremiti:
1. okovom za zaokretna krila - podesivim pantima, minimalno 3 kom/krilu;
2. europrofilnom cilindar bravom i 3 ključa u inox izvedbi;
3. ručkama protiv zapinjanja kružnog presjeka s obje strane (duge ručke na ulaznim vratima iz prodajnog prostora u skladu s propisom o pristupačnosti za osobe s invaliditetom) i rozetama u inox izvedbi;
4. podnim ili zidnim graničnikom otvaranja.
Završna obrada pribora u satenskom kromu.",,,,,
,"U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.3.1.a)
Detalji izvedbe u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - poglavlje 12. - grafički prikaz 37.
Sve prema shemi bravarije U1.
Obračun po kompletu.",,,,,
12.3.1.1.a.,Vrata dimenzija 98/229 cm.,komplet,1,,,
,,,,,,
12.3.1.2.,Unutarnja vrata WC-a za kupce,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada unutarnjih jednokrilnih zaokretnih punih vrata WC-a za kupce, iz PVC ploča i profila, presvučena glatkim plastičnim laminatom otpornim na ogrebotine. Dovratnik, krilo, pokrovne letvice završna obrada i rub panela u PVC-u u boji RAL 9010.
Vrata opremiti:
1. okovom za zaokretna krila - podesivim pantima, minimalno 3 kom/krilu;
2. cilindar bravom i 3 ključa u inox izvedbi;
3. kvakama i rozetama u inox izvedbi.
Kvaka s magnetom za zatvaranje s unutarnje strane i pokazivačem slobodno / zauzeto s vanjske strane;
4. hidrauličnom povratnom pumpom s vodilicom na vratnom krilu (osim u WC-u osoba s invaliditetom i smanjene pokretljivosti);
5. podnim ili zidnim graničnikom otvaranja.
6. prestrujnom rešetkom u donjoj zoni vratnog",,,,,
,"krila, dimenzija 325/125 mm, prema strojarskom projektu (dobava obračunata zasebno).
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.3.1.b)
Detalji izvedbe u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - poglavlje 12. - grafički prikaz 37.
Obračun po kompletu.",,,,,
12.3.1.2.a.,"Vrata dimenzija 88/214 cm - vrata predprostora wc-a za kupce i vrata wc kabina za kupce.
Sve prema shemi bravarije U3.",komplet,4,,,
12.3.1.2.b.,"Vrata dimenzija 98/214 cm - vrata WC-a osoba s invaliditetom i smanjene pokretljivosti.
 Sve prema shemi bravarije U2.",komplet,1,,,
,,,,UKUPNO:,0,
,,,,,,
12.3.1.3.,Unutarnja vrata prostora za radnike,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada unutarnjih jednokrilnih zaokretnih punih vrata prostorija za radnike, iz PVC ploča i profila, presvučena glatkim plastičnim laminatom otpornim na ogrebotine. Dovratnik, krilo, pokrovne letvice završna obrada i rub panela u PVC-u u boji RAL 9010.
Vrata opremiti:
1. okovom za zaokretna krila - podesivim pantima, minimalno 3 kom/krilu;
2. cilindar bravom i 3 ključa u inox izvedbi;
3. kvakama i rozetama u inox izvedbi; Kvaka s magnetom za zatvaranje s unutarnje strane i pokazivačem slobodno / zauzeto s vanjske strane;
4. hidrauličnom povratnom pumpom s vodilicom na vratnom krilu;
5. podnim ili zidnim graničnikom otvaranja.
6. prestrujnom rešetkom u donjoj zoni vratnog krila, dimenzija 325/125 mm, prema strojarskom",,,,,
,"projektu (dobava obračunata zasebno).
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.3.1.c)
Detalji izvedbe u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - poglavlje 12. - prikaz 37.
Obračun po kompletu.",,,,,
12.3.1.3.a.,"Vrata dimenzija 88/214 cm.
Sve prema shemi bravarije U3.
Mjesto ugradbe: garderobe radnika, WC radnika, prostor za odmor.",komplet,7,,,
12.3.1.3.b.,"Vrata dimenzija 74/185 cm.
Mjesto ugrabde: tuš kabina.",komplet,2,,,
,,,,UKUPNO:,0,
,,,,,,
12.3.1.,Unutarnja vrata pomoćnih prostora UKUPNO:,,,,0,0
,,,,,,
,,,,,,
12.3.3.,Unutarnja vrata kontrolne sobe,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada unutarnjih zaokretnih protuprovalnih punih vrata kontrolnog ureda/trezora.
Vrata klase 3 otpornosti na provalu prema UNI –ENV 1627-30, svj. mjere 90/240 cm, sa samonosivim čeličnim okvirom.
U kompletu s električnom motoriziranom bravom koja se otvara bedžom, obračunata zasebno, (vrijeme otvaranja izvana s bedžom ili iznutra s ručkom manje od 2 sekunde), uključujući isporuku 3 bedža i ključa za hitan pristup u slučaju kvara na mreži izvana. Vrata se uvijek otvaraju iznutra pomoću ručke čak i u slučaju kvara na mreži.
Dovratnik i okvir vratnih krila izrađeni od aluminijskih profila. Krila obložena aluminijskim limom i ispunjena negorivom kamenom vunom.
Špalete oko ugradbenog otvora opšivaju se u punoj širini limom i rubnim kutnim lajsnama. Opšav izrađen od aluminijskog lima, završno obrađen kao",,,,,
,"dovratnik i krilo. Montaža skrivenim mehaničkim pričvršćenjem.
Završna obrada profila plastificiranjem u boji RAL 9010.
Vrata opremiti:
1. protuprovalnim okovom za zaokretna krila;
2. protuprovalnom cilindar bravom i 3 ključa u inox izvedbi;
3. kvakom, kuglom i rozetama u inox izvedbi, na strani prodajnog prostora opremljena kuglom;
4. priprema za ugradbu električne brave;
5. hidrauličnom povratnom pumpom s vodilicom na vratnom krilu;
6. podnim ili zidnim graničnikom otvaranja;
7. okvir od čeličnih profila za ugradnju na zid u boji RAL 9010.
Završna obrada pribora u satenskom kromu.
U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;",,,,,
,"_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.3.3.
Detalji izvedbe u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - poglavlje 12. - grafički prikaz 38.
Sve prema shemi bravarije U7.
Obračun po kompletu.",,,,,
12.3.3.a.,,komplet,1,,,
,,,,,,
,,,,,,
,,,,,,
12.3.6.,Unutarnji prozor prostora za obradu mesa,,,,,
,"Dobava materijala, izrada, suha montaža, opremanje i završna obrada unutarnjeg jednodjelnog fiksno ostakljenog prozora prostora za obradu mesa.
Doprozornici izrađeni od aluminijskih profila bez riješenog toplinskog mosta - hladni profil širine 50 mm, kao Metra NC50 ili jednakovrijedno.
Ostakljenje sigurnosnim laminiranim staklom 5+5 mm, s PVB folijom, debljine 0,76 mm, ekstra prozirno, polirano sa svih strana podijeljeno u 4 polja.
Stavka uključuje sve potrebne elemente pričvršćenja - slijepe doprozornike, spojne ploče i vijčani pribor u skladu s Eurospin standardom.
U jediničnoj cijeni stavke uključene su sve obrade priključaka prozora na konstrukciju građevine - opšavi od aluminijskog lima završne obrade kao profili.
Završna obrada profila plastificiranjem u boji RAL 7035.",,,,,
,"U stavci uključeno:
_ sav potreban spojni i montažni pribor;
_ zaštita PE folijom nakon ugradnje;
_ završno brtvljenje i popravci eventualnih oštećenja do pune estetske gotovosti.
Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 12.3.7.
Detalji izvedbe u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - poglavlje 12. - grafički prikaz 39.
Sve prema shemi bravarije U6.
Obračun po kompletu i kg.",,,,,
12.3.6.a.,Prozor dimenzija 605x200 cm.,komplet,1,5000,5000,
,,,,UKUPNO:,5000,
,,,,,,
12.3.,STANDARDNA UNUTARNJA BRAVARIJA UKUPNO:,,,,5000,
,,,,,,
,,,,,,
12.,BRAVARIJA UKUPNO:,,,,84152.99,
