,,,,,
,STAMBENA ZGRADA,,,,
,,,,,
,1. PRIPREMNI I ZEMLJANI RADOVI,,,,
,,,,,
12.,"Nabava materijala, dovoz, montaža daščane glatke oplate i betoniranje armirano betonskog stubišta u objektu i na ulazu, betonom C25/30, debljina kosih ploča je 15 cm a dimenzije gazišta i čela su 28x17 cm. Stubište armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,3,360,1080
13.,"Nabava materijala, dovoz, montaža trostrne daščane glatke oplate i betoniranje AB greda, betonom C25/30. Grede armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,1.4,230,322
14.,"Nabava materijala, dovoz, montaža trostrne daščane glatke oplate i betoniranje AB nadvoja, betonom C25/30. Nadvoje armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,1.8,227,408.6
15.,"Nabava materijala, dovoz, montaža daščane glatke  oplate i betoniranje armirano betonskih parapetnih  zidova, betonom C25/30 uz upotrebu vibratora, debljine 25 cm. AB zidove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. Zidovi na AB ploči iznad prizemlja.",m³,0.8,212,169.6
16.,"Nabava materijala, dovoz, montaža daščane glatke oplate i betoniranje armirano betonske ploče iznad prizemlja, betonom C25/30, debljine 15  cm. Podupiranje oplate do 3 metra. AB ploče armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,12,240,2880
17.,"Nabava materijala, dovoz, montaža daščane glatke oplate i betoniranje armirano betonske ploče iznad 1. kata, betonom C25/30, debljine 15  cm. Podupiranje oplate do 3 metra. AB ploče armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,12,242,2904
18.,"Nabava materijala, dovoz, montaža daščane glatke oplate i betoniranje armirano betonske kose ploče iznad 2. kata, betonom C25/30, debljine 15  cm. Podupiranje oplate do 4 metra. AB ploče armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,14,245,3430
19.,"Nabava materijala, dovoz, montaža dvostrane daščane glatke oplate i betoniranje armirano betonskih zidića atike na kosim ab pločama, betonom C25/30, presjeka 10x20 cm. Zidiće armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,0.6,238,142.8
20.,"Nabava materijala, dovoz, montaža glatke daščane glatke oplate i betoniranje armirano betonskih horizontalnih grandala sa zidićima, kao betonski rigol za horizontalni oluk, betonom C25/30, vanjskih mjera 25x27 cm. Rigol armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona. ",m³,0.7,255,178.5
,armatura,,,,
21.,"Nabava, dovoz, siječenje, svijanje, vezanje i postavljanje rebraste i mrežaste armature u konstruktivne elemente objekta. U cjenu uključeni potrebni držači rastojanja. PROCJENJENA KOLČINA.",kg,12000,1.7,20400
,,,,,
,BETONSKI I AB RADOVI,,UKUPNO:,EURA,47145.1
,,,,,
,3. ZIDARSKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i zidanje nosivih zidova blok opekom kao POROTHERM 25, dim. 250x375x238 cm u produžnom cementnom mortu marke MM-25. U cijenu uključena i pomoćna radna skela za zidanje. Zidovi prizemlja. Prije zidanja na betonsku ploču gdje se izvodi zidanje postaviti hidroizolacijske trake širine 30-35 cm.",m³,10.5,195,2047.5
2.,"Nabava materijala, dovoz i zidanje nosivih zidova blok opekom kao POROTHERM 25, dim. 250x375x238 cm u produžnom cementnom mortu marke MM-25. U cijenu uključena i pomoćna radna skela za zidanje. Zidovi 1.kata.  ",m³,20,185,3700
3.,"Nabava materijala, dovoz i zidanje nosivih zidova blok opekom kao POROTHERM 25, dim. 250x375x238 cm u produžnom cementnom mortu marke MM-25. U cijenu uključena i pomoćna radna skela za zidanje. Zidovi 2.kata.  ",m³,24,188,4512
4.,"Nabava materijala, dovoz i zidanje pregradnih zidova blok opekom kao POROTHERM 10, dim. 100x600x238 cm u produžnom cementnom mortu marke MM-25. U cijenu uključena i pomoćna radna skela za zidanje. U stavku uključeno i zidanje instalacijskih kanala u objektu. Zidovi prizemlja. Prije zidanja na betonsku ploču gdje se izvodi zidanje postaviti hidroizolacijske trake širine 20-25 cm.",m²,10,57,570
5.,"Nabava materijala, dovoz i zidanje pregradnih zidova blok opekom kao POROTHERM 10, dim. 100x600x238 cm u produžnom cementnom mortu marke MM-25. U cijenu uključena i pomoćna radna skela za zidanje. U stavku uključeno i zidanje instalacijskih kanala u objektu. Zidovi 1.kata.",m²,37,47,1739
6.,"Nabava materijala, dovoz i zidanje pregradnih zidova blok opekom kao POROTHERM 10, dim. 100x600x238 cm u produžnom cementnom mortu marke MM-25. U cijenu uključena i pomoćna radna skela za zidanje. U stavku uključeno i zidanje instalacijskih kanala u objektu. Zidovi 2.kata.",m²,38,49,1862
7.,"Nabava, dovoz i ugradnja tipskih nadvoja na pregradnim zidovima iznad sobnih vrata dužina od 100 do 120 cm. Ugradnja pomoću produžnog morta.",kom,7,23,161
8.,"Montaža daščane glatke oplate i betoniranje ab horizontalnog serklaža na pregradnim zidovima 2. kata, betonom C25/30, na visini od 3 metra. Presjek betona je 10x25 cm.",m³,0.3,207,62.1
9.,Čišćenje gradilišta tijekom izvođenja radova i još jednom generalno nakon završetka svih građevinsko obrtničkih radova.,komplet,1,360,360
,,,,,
,ZIDARSKI RADOVI,,UKUPNO:,EURA,15013.6
,,,,,
,4. KROVOPOKRIVAČKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i izrada hidroizolacijskog sloja na kosim ab pločama iznad 2.kata Hidroizolacija se izvodi bitumenskom ljepenkom s uloškom staklene tkanine. Prethodno ploče premazati hladnim bitumenskim premazom.",m²,77,8,616
2.,"Nabava materijala, dovoz i pričvršćivanje jelovih letava dim.8x5 cm preko kosih ab ploča. U stavku uključen kompletan pričvrsni materijal i zaštitno sredstvo.",m²,77,12,924
