,,,,,
,A. GRAĐEVINSKI RADOVI,,,,
,,,,,
A.03.4,"Nabava materijala, dovoz, montaža rubne glatke daščane oplate i betoniranje podne armirano betonske ploče betonom C25/30 uz upotrebu vibratora, debljine 12 cm. Ploču armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. Podna ploča na koti -1,59 m.",m³,1.5,,
A.03.5,"Nabava materijala, dovoz, montaža rubne glatke daščane oplate i betoniranje podne armirano betonske ploče betonom C25/30 uz upotrebu vibratora, debljine 12 cm. Ploču armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. Podna ploča na koti -0,14 m.",m³,13,,
A.03.6,"Nabava materijala, dovoz, montaža četverostrane glatke daščane oplate i betoniranje armirano betonskih stupova samaca, betonom C25/30. Stupove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. Stupovi ispod vanjske terase sa kote -1,59 m.",m³,0.15,,
A.03.7,"Nabava materijala, dovoz, montaža četverostrane glatke daščane oplate i betoniranje armirano betonskih stupova samaca, betonom C25/30. Stupove armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. Stupovi na ab ploči vanjske terase sa kote -0,14 m.",m³,0.3,,
A.03.8,"Nabava materijala, dovoz, montaža trostrane glatke daščane oplate i betoniranje AB greda, betonom C25/30. Grede armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključeno podupiranje greda prije betoniranja, demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,1.2,,
A.03.9,"Nabava materijala, dovoz, montaža glatke daščane oplate i betoniranje armirano betonske ploče vanjske terase, betonom C25/30, debljine 15  cm. Podupiranje oplate do 1,5 metar. AB ploče armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,2,,
A.03.10,"Nabava materijala, dovoz, montaža glatke daščane oplate i betoniranje vertikalnih serklaža, betonom C25/30. Serklaže armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,2.9,,
A.03.11,"Nabava materijala, dovoz, montaža dvostrane glatke daščane oplate i betoniranje horizontalnih serklaža, betonom C25/30. Serklaže armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključen kompletan materijal, montaža oplate, demontaža oplate nakon sušenja, čišćenje i odvoz kao i potrebno njegovanje betona. Presjek betona je 25x20 cm.",m³,2.4,,
A.03.12,"Nabava materijala, dovoz, montaža trostrne glatke daščane oplate i betoniranje AB nadvoja, betonom C25/30. Nadvoje armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,1,,
A.03.13,"Nabava materijala, dovoz, montaža glatke daščane oplate i betoniranje armirano betonske ploče iznad prizemlja, betonom C25/30, debljine 15  cm, skupa sa dijelom grandala (istak na ploči). Podupiranje oplate do 3 metra. AB ploče armirati prema statičkom proračunu i planu armature. Armatura je obračunata u zasebnoj stavci. U cijenu uključena demontaža oplate, čišćenje i odvoz kao i potrebno njegovanje betona.",m³,18,,
